tensor_name,tensor_type,chunks,used_chunks,skipped_chunks,pred_none,pred_mean,pred_neighbor,pred_none_pct,pred_mean_pct,pred_neighbor_pct,skip_pct
transformer_decoder_block_1_layer_0_layer_norm_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
transformer_decoder_block_1_layer_1_EncDecAttention_k_weight,weight,288,288,0,287,1,0,0.9965277777777778,0.003472222222222222,0.0,0.0
transformer_decoder_block_1_layer_1_EncDecAttention_o_weight,weight,288,287,1,287,0,0,1.0,0.0,0.0,0.003472222222222222
transformer_decoder_block_1_layer_1_EncDecAttention_q_weight,weight,288,0,288,0,0,0,0,0,0,1.0
transformer_decoder_block_1_layer_1_EncDecAttention_v_weight,weight,288,0,288,0,0,0,0,0,0,1.0
transformer_decoder_block_1_layer_1_layer_norm_weight,weight,1,1,0,0,0,1,0.0,0.0,1.0,0.0
transformer_decoder_block_1_layer_2_DenseReluDense_wi_weight,weight,1152,1152,0,1094,0,58,0.9496527777777778,0.0,0.050347222222222224,0.0
transformer_decoder_block_1_layer_2_DenseReluDense_wo_weight,weight,1152,1152,0,1016,11,125,0.8819444444444444,0.009548611111111112,0.10850694444444445,0.0
transformer_decoder_block_1_layer_2_layer_norm_weight,weight,1,1,0,0,0,1,0.0,0.0,1.0,0.0
transformer_decoder_block_2_layer_0_SelfAttention_k_weight,weight,288,166,122,164,2,0,0.9879518072289156,0.012048192771084338,0.0,0.4236111111111111
transformer_decoder_block_2_layer_0_SelfAttention_o_weight,weight,288,288,0,288,0,0,1.0,0.0,0.0,0.0
transformer_decoder_block_2_layer_0_SelfAttention_q_weight,weight,288,271,17,270,1,0,0.996309963099631,0.0036900369003690036,0.0,0.059027777777777776
transformer_decoder_block_2_layer_0_SelfAttention_v_weight,weight,288,0,288,0,0,0,0,0,0,1.0
transformer_decoder_block_2_layer_0_layer_norm_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
transformer_decoder_block_2_layer_1_EncDecAttention_k_weight,weight,288,288,0,285,0,3,0.9895833333333334,0.0,0.010416666666666666,0.0
transformer_decoder_block_2_layer_1_EncDecAttention_o_weight,weight,288,288,0,288,0,0,1.0,0.0,0.0,0.0
transformer_decoder_block_2_layer_1_EncDecAttention_q_weight,weight,288,0,288,0,0,0,0,0,0,1.0
transformer_decoder_block_2_layer_1_EncDecAttention_v_weight,weight,288,19,269,19,0,0,1.0,0.0,0.0,0.9340277777777778
transformer_decoder_block_2_layer_1_layer_norm_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
transformer_decoder_block_2_layer_2_DenseReluDense_wi_weight,weight,1152,1152,0,1041,0,111,0.9036458333333334,0.0,0.09635416666666667,0.0
transformer_decoder_block_2_layer_2_DenseReluDense_wo_weight,weight,1152,1152,0,1082,23,47,0.9392361111111112,0.019965277777777776,0.04079861111111111,0.0
transformer_decoder_block_2_layer_2_layer_norm_weight,weight,1,1,0,0,0,1,0.0,0.0,1.0,0.0
transformer_decoder_block_3_layer_0_SelfAttention_k_weight,weight,288,284,4,279,5,0,0.9823943661971831,0.017605633802816902,0.0,0.013888888888888888
transformer_decoder_block_3_layer_0_SelfAttention_o_weight,weight,288,288,0,288,0,0,1.0,0.0,0.0,0.0
transformer_decoder_block_3_layer_0_SelfAttention_q_weight,weight,288,288,0,283,5,0,0.9826388888888888,0.017361111111111112,0.0,0.0
transformer_decoder_block_3_layer_0_SelfAttention_v_weight,weight,288,0,288,0,0,0,0,0,0,1.0
transformer_decoder_block_3_layer_0_layer_norm_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
transformer_decoder_block_3_layer_1_EncDecAttention_k_weight,weight,288,288,0,288,0,0,1.0,0.0,0.0,0.0
transformer_decoder_block_3_layer_1_EncDecAttention_o_weight,weight,288,287,1,287,0,0,1.0,0.0,0.0,0.003472222222222222
transformer_decoder_block_3_layer_1_EncDecAttention_q_weight,weight,288,0,288,0,0,0,0,0,0,1.0
transformer_decoder_block_3_layer_1_EncDecAttention_v_weight,weight,288,19,269,18,1,0,0.9473684210526315,0.05263157894736842,0.0,0.9340277777777778
transformer_decoder_block_3_layer_1_layer_norm_weight,weight,1,1,0,0,0,1,0.0,0.0,1.0,0.0
transformer_decoder_block_3_layer_2_DenseReluDense_wi_weight,weight,1152,1152,0,1111,0,41,0.9644097222222222,0.0,0.035590277777777776,0.0
transformer_decoder_block_3_layer_2_DenseReluDense_wo_weight,weight,1152,1152,0,1078,16,58,0.9357638888888888,0.013888888888888888,0.050347222222222224,0.0
transformer_decoder_block_3_layer_2_layer_norm_weight,weight,1,1,0,0,0,1,0.0,0.0,1.0,0.0
transformer_decoder_block_4_layer_0_SelfAttention_k_weight,weight,288,288,0,287,1,0,0.9965277777777778,0.003472222222222222,0.0,0.0
transformer_decoder_block_4_layer_0_SelfAttention_o_weight,weight,288,288,0,285,0,3,0.9895833333333334,0.0,0.010416666666666666,0.0
transformer_decoder_block_4_layer_0_SelfAttention_q_weight,weight,288,284,4,282,2,0,0.9929577464788732,0.007042253521126761,0.0,0.013888888888888888
transformer_decoder_block_4_layer_0_SelfAttention_v_weight,weight,288,0,288,0,0,0,0,0,0,1.0
transformer_decoder_block_4_layer_0_layer_norm_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
transformer_decoder_block_4_layer_1_EncDecAttention_k_weight,weight,288,288,0,287,1,0,0.9965277777777778,0.003472222222222222,0.0,0.0
transformer_decoder_block_4_layer_1_EncDecAttention_o_weight,weight,288,288,0,287,1,0,0.9965277777777778,0.003472222222222222,0.0,0.0
transformer_decoder_block_4_layer_1_EncDecAttention_q_weight,weight,288,5,283,5,0,0,1.0,0.0,0.0,0.9826388888888888
transformer_decoder_block_4_layer_1_EncDecAttention_v_weight,weight,288,27,261,27,0,0,1.0,0.0,0.0,0.90625
transformer_decoder_block_4_layer_1_layer_norm_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
transformer_decoder_block_4_layer_2_DenseReluDense_wi_weight,weight,1152,1152,0,1086,0,66,0.9427083333333334,0.0,0.057291666666666664,0.0
transformer_decoder_block_4_layer_2_DenseReluDense_wo_weight,weight,1152,1151,1,1001,35,115,0.8696785403996524,0.030408340573414423,0.0999131190269331,0.0008680555555555555
transformer_decoder_block_4_layer_2_layer_norm_weight,weight,1,1,0,0,0,1,0.0,0.0,1.0,0.0
transformer_decoder_block_5_layer_0_SelfAttention_k_weight,weight,288,288,0,283,5,0,0.9826388888888888,0.017361111111111112,0.0,0.0
transformer_decoder_block_5_layer_0_SelfAttention_o_weight,weight,288,288,0,281,0,7,0.9756944444444444,0.0,0.024305555555555556,0.0
transformer_decoder_block_5_layer_0_SelfAttention_q_weight,weight,288,109,179,107,2,0,0.981651376146789,0.01834862385321101,0.0,0.6215277777777778
transformer_decoder_block_5_layer_0_SelfAttention_v_weight,weight,288,0,288,0,0,0,0,0,0,1.0
transformer_decoder_block_5_layer_0_layer_norm_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
transformer_decoder_block_5_layer_1_EncDecAttention_k_weight,weight,288,288,0,288,0,0,1.0,0.0,0.0,0.0
transformer_decoder_block_5_layer_1_EncDecAttention_o_weight,weight,288,283,5,281,2,0,0.9929328621908127,0.007067137809187279,0.0,0.017361111111111112
transformer_decoder_block_5_layer_1_EncDecAttention_q_weight,weight,288,0,288,0,0,0,0,0,0,1.0
transformer_decoder_block_5_layer_1_EncDecAttention_v_weight,weight,288,44,244,44,0,0,1.0,0.0,0.0,0.8472222222222222
transformer_decoder_block_5_layer_1_layer_norm_weight,weight,1,1,0,0,0,1,0.0,0.0,1.0,0.0
transformer_decoder_block_5_layer_2_DenseReluDense_wi_weight,weight,1152,732,420,717,15,0,0.9795081967213115,0.020491803278688523,0.0,0.3645833333333333
transformer_decoder_block_5_layer_2_DenseReluDense_wo_weight,weight,1152,1151,1,961,54,136,0.8349261511728931,0.04691572545612511,0.11815812337098175,0.0008680555555555555
transformer_decoder_block_5_layer_2_layer_norm_weight,weight,1,1,0,0,0,1,0.0,0.0,1.0,0.0
transformer_decoder_block_6_layer_0_SelfAttention_k_weight,weight,288,264,24,256,8,0,0.9696969696969697,0.030303030303030304,0.0,0.08333333333333333
transformer_decoder_block_6_layer_0_SelfAttention_o_weight,weight,288,288,0,281,0,7,0.9756944444444444,0.0,0.024305555555555556,0.0
transformer_decoder_block_6_layer_0_SelfAttention_q_weight,weight,288,169,119,165,4,0,0.9763313609467456,0.023668639053254437,0.0,0.4131944444444444
transformer_decoder_block_6_layer_0_SelfAttention_v_weight,weight,288,0,288,0,0,0,0,0,0,1.0
transformer_decoder_block_6_layer_0_layer_norm_weight,weight,1,1,0,0,0,1,0.0,0.0,1.0,0.0
transformer_decoder_block_6_layer_1_EncDecAttention_k_weight,weight,288,288,0,287,1,0,0.9965277777777778,0.003472222222222222,0.0,0.0
transformer_decoder_block_6_layer_1_EncDecAttention_o_weight,weight,288,288,0,286,2,0,0.9930555555555556,0.006944444444444444,0.0,0.0
transformer_decoder_block_6_layer_1_EncDecAttention_q_weight,weight,288,0,288,0,0,0,0,0,0,1.0
transformer_decoder_block_6_layer_1_EncDecAttention_v_weight,weight,288,16,272,15,1,0,0.9375,0.0625,0.0,0.9444444444444444
transformer_decoder_block_6_layer_1_layer_norm_weight,weight,1,1,0,0,0,1,0.0,0.0,1.0,0.0
transformer_decoder_block_6_layer_2_DenseReluDense_wi_weight,weight,1152,1089,63,1065,24,0,0.977961432506887,0.02203856749311295,0.0,0.0546875
transformer_decoder_block_6_layer_2_DenseReluDense_wo_weight,weight,1152,1149,3,1039,37,73,0.9042645778938208,0.03220191470844212,0.06353350739773717,0.0026041666666666665
transformer_decoder_block_6_layer_2_layer_norm_weight,weight,1,1,0,0,0,1,0.0,0.0,1.0,0.0
transformer_decoder_block_7_layer_0_SelfAttention_k_weight,weight,288,15,273,15,0,0,1.0,0.0,0.0,0.9479166666666666
transformer_decoder_block_7_layer_0_SelfAttention_o_weight,weight,288,288,0,234,0,54,0.8125,0.0,0.1875,0.0
transformer_decoder_block_7_layer_0_SelfAttention_q_weight,weight,288,171,117,165,6,0,0.9649122807017544,0.03508771929824561,0.0,0.40625
transformer_decoder_block_7_layer_0_SelfAttention_v_weight,weight,288,95,193,93,2,0,0.9789473684210527,0.021052631578947368,0.0,0.6701388888888888
transformer_decoder_block_7_layer_0_layer_norm_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
