tensor_name,tensor_type,chunks,used_chunks,skipped_chunks,pred_none,pred_mean,pred_neighbor,pred_none_pct,pred_mean_pct,pred_neighbor_pct,skip_pct
Mixed_6e_branch7x7_1_conv_weight,weight,72,72,0,66,0,6,0.9166666666666666,0.0,0.08333333333333333,0.0
Mixed_6e_branch7x7_2_bn_bias,bias,1,0,1,0,0,0,0,0,0,1.0
Mixed_6e_branch7x7_2_bn_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_6e_branch7x7_2_bn_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_6e_branch7x7_2_bn_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_6e_branch7x7_2_bn_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_6e_branch7x7_2_conv_weight,weight,126,126,0,113,1,12,0.8968253968253969,0.007936507936507936,0.09523809523809523,0.0
Mixed_6e_branch7x7_3_bn_bias,bias,1,0,1,0,0,0,0,0,0,1.0
Mixed_6e_branch7x7_3_bn_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_6e_branch7x7_3_bn_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_6e_branch7x7_3_bn_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_6e_branch7x7_3_bn_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_6e_branch7x7_3_conv_weight,weight,126,126,0,91,12,23,0.7222222222222222,0.09523809523809523,0.18253968253968253,0.0
Mixed_6e_branch7x7dbl_1_bn_bias,bias,1,0,1,0,0,0,0,0,0,1.0
Mixed_6e_branch7x7dbl_1_bn_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_6e_branch7x7dbl_1_bn_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_6e_branch7x7dbl_1_bn_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_6e_branch7x7dbl_1_bn_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_6e_branch7x7dbl_1_conv_weight,weight,72,72,0,68,4,0,0.9444444444444444,0.05555555555555555,0.0,0.0
Mixed_6e_branch7x7dbl_2_bn_bias,bias,1,0,1,0,0,0,0,0,0,1.0
Mixed_6e_branch7x7dbl_2_bn_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_6e_branch7x7dbl_2_bn_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_6e_branch7x7dbl_2_bn_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_6e_branch7x7dbl_2_bn_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_6e_branch7x7dbl_2_conv_weight,weight,126,126,0,102,24,0,0.8095238095238095,0.19047619047619047,0.0,0.0
Mixed_6e_branch7x7dbl_3_bn_bias,bias,1,0,1,0,0,0,0,0,0,1.0
Mixed_6e_branch7x7dbl_3_bn_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_6e_branch7x7dbl_3_bn_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_6e_branch7x7dbl_3_bn_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_6e_branch7x7dbl_3_bn_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
