tensor_name,tensor_type,chunks,used_chunks,skipped_chunks,pred_none,pred_mean,pred_neighbor,pred_none_pct,pred_mean_pct,pred_neighbor_pct,skip_pct
layer4_1_conv3_weight,weight,512,512,0,31,0,481,0.060546875,0.0,0.939453125,0.0
layer4_2_bn1_bias,bias,1,1,0,0,1,0,0.0,1.0,0.0,0.0
layer4_2_bn1_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
layer4_2_bn2_bias,bias,1,1,0,0,1,0,0.0,1.0,0.0,0.0
layer4_2_bn2_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
layer4_2_bn3_bias,bias,1,1,0,0,1,0,0.0,1.0,0.0,0.0
layer4_2_bn3_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
layer4_2_conv1_weight,weight,512,512,0,394,0,118,0.76953125,0.0,0.23046875,0.0
layer4_2_conv2_weight,weight,1152,1152,0,0,0,1152,0.0,0.0,1.0,0.0
layer4_2_conv3_weight,weight,512,512,0,15,0,497,0.029296875,0.0,0.970703125,0.0
