tensor_type,predictor,ctx0_zeros,ctx0_ones,ctx0_total,ctx0_p1,ctx1_zeros,ctx1_ones,ctx1_total,ctx1_p1,ctx2_zeros,ctx2_ones,ctx2_total,ctx2_p1,ctx3_zeros,ctx3_ones,ctx3_total,ctx3_p1,ctx4_zeros,ctx4_ones,ctx4_total,ctx4_p1,ctx5_zeros,ctx5_ones,ctx5_total,ctx5_p1,ctx6_zeros,ctx6_ones,ctx6_total,ctx6_p1,ctx7_zeros,ctx7_ones,ctx7_total,ctx7_p1,ctx8_zeros,ctx8_ones,ctx8_total,ctx8_p1,ctx9_zeros,ctx9_ones,ctx9_total,ctx9_p1,ctx10_zeros,ctx10_ones,ctx10_total,ctx10_p1,ctx11_zeros,ctx11_ones,ctx11_total,ctx11_p1,ctx12_zeros,ctx12_ones,ctx12_total,ctx12_p1
weight,NONE,225925,1036232,1262157,0.8210008739007905,552896,5060354,5613250,0.9015016256179575,478282,4179815,4658097,0.8973224473427668,4660348,5616053,10276401,0.5464999857440362,2066037,2855239,4921276,0.5801826599442909,2605724,3849348,6455072,0.5963292121296245,2488766,0,2488766,0.0,2487834,932,2488766,0.0003744827758013409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7787635,2488766,10276401,0.24218264740739487
weight,MEAN,137,1420,1557,0.9120102761721259,705,13048,13753,0.9487384570639134,671,12499,13170,0.949050873196659,13194,13773,26967,0.5107353431972411,3555,5949,9504,0.6259469696969697,3696,6472,10168,0.6365066876475216,15053,0,15053,0.0,15024,29,15053,0.0019265262738324587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11914,15053,26967,0.5582007638966143
weight,NEIGHBOR,427040,1556650,1983690,0.7847244277079584,793411,5202916,5996327,0.8676838337869166,757364,5223835,5981199,0.8733758900180382,5984185,5999216,11983401,0.5006271591846088,2689236,3520651,6209887,0.5669428445316316,2693850,3511795,6205645,0.5659033025575907,2316125,13,2316138,5.61279163849477e-06,2315971,167,2316138,7.210278489450973e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9667263,2316138,11983401,0.1932788529733754
bias,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bias,MEAN,7,396,403,0.9826302729528535,219,7247,7466,0.9706670238414145,162,6369,6531,0.9751952227836472,6536,7476,14012,0.5335426777048244,1077,2106,3183,0.6616399622997172,1134,2200,3334,0.6598680263947211,10298,3,10301,0.00029123386079021456,10194,107,10301,0.010387341034850985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3711,10301,14012,0.7351555809306309
bias,NEIGHBOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
