param_name,layer_type,shape,numel,bits_quant,raw_bytes,mse_post,nmse_post,compressed_bytes,compression_ratio,compression_gain_pct,bits_per_element,encode_time,decode_time
bert_encoder_layer_5_output_LayerNorm_weight,Weight,"768",768,12,1152,86.599,0.0028269,767,1.50196,33.4201,7.98958,2.3579,2.2514
bert_encoder_layer_5_output_LayerNorm_bias,Bias,"768",768,12,1152,157.284,15.7018,681,1.69163,40.8854,7.09375,1.9763,1.9363
bert_encoder_layer_6_attention_self_query_weight,Weight,"768x768",589824,8,589824,0.0658468,0.263387,442823,1.33196,24.9229,6.00617,1379.23,1309.09
bert_encoder_layer_6_attention_self_query_bias,Bias,"768",768,12,1152,28.0977,4.08853,778,1.48072,32.4653,8.10417,2.1956,2.1107
bert_encoder_layer_6_attention_self_key_weight,Weight,"768x768",589824,8,589824,0.0655145,0.262058,442927,1.33165,24.9052,6.00758,1380.5,1298.18
bert_encoder_layer_6_attention_self_key_bias,Bias,"768",768,12,1152,29.1133,4.76716,796,1.44724,30.9028,8.29167,2.2226,2.155
bert_encoder_layer_6_attention_self_value_weight,Weight,"768x768",589824,8,589824,0.0780148,0.312059,411873,1.43205,30.1702,5.58639,1343.44,1277.48
bert_encoder_layer_6_attention_self_value_bias,Bias,"768",768,12,1152,0.00260417,0.0104167,1457,0.790666,-26.4757,15.1771,2.4129,2.6365
bert_encoder_layer_6_attention_output_dense_weight,Weight,"768x768",589824,12,884736,0.00278219,0.0111287,1107934,0.798546,-25.2276,15.0273,1843.84,1752.95
bert_encoder_layer_6_attention_output_dense_bias,Bias,"768",768,12,1152,0.0078125,0.03125,1405,0.819929,-21.9618,14.6354,2.3907,2.2289
bert_encoder_layer_6_attention_output_LayerNorm_weight,Weight,"768",768,12,1152,406.784,0.149265,559,2.06082,51.4757,5.82292,1.7981,1.7744
bert_encoder_layer_6_attention_output_LayerNorm_bias,Bias,"768",768,12,1152,44.0521,9.04259,659,1.7481,42.7951,6.86458,1.8562,2.0094
bert_encoder_layer_6_intermediate_dense_weight,Weight,"3072x768",2359296,12,3538944,0.00327979,0.0131192,4285167,0.825859,-21.086,14.5303,7298.15,6952.8
bert_encoder_layer_6_intermediate_dense_bias,Bias,"3072",3072,12,4608,183.272,20.7862,2572,1.7916,44.184,6.69792,7.1308,6.9355
bert_encoder_layer_6_output_dense_weight,Weight,"768x3072",2359296,12,3538944,0.0472031,0.188812,2050859,1.72559,42.0488,6.95414,6560.91,6356.93
bert_encoder_layer_6_output_dense_bias,Bias,"768",768,12,1152,0.00260417,0.0104167,1403,0.821098,-21.7882,14.6146,2.3876,2.277
bert_encoder_layer_6_output_LayerNorm_weight,Weight,"768",768,12,1152,83.6771,0.00246259,768,1.5,33.3333,8,2.3372,2.5724
bert_encoder_layer_6_output_LayerNorm_bias,Bias,"768",768,12,1152,192.634,9.69652,620,1.85806,46.1806,6.45833,1.9725,1.6313
bert_encoder_layer_7_attention_self_query_weight,Weight,"768x768",589824,8,589824,0.0652551,0.26102,442872,1.33182,24.9146,6.00684,1372.97,1316.55
bert_encoder_layer_7_attention_self_query_bias,Bias,"768",768,12,1152,38.5846,57.9167,733,1.57162,36.3715,7.63542,2.1384,2.0399
bert_encoder_layer_7_attention_self_key_weight,Weight,"768x768",589824,8,589824,0.0653229,0.261292,443199,1.33083,24.8591,6.01127,1363.95,1313.88
bert_encoder_layer_7_attention_self_key_bias,Bias,"768",768,12,1152,30.5573,15.5471,817,1.41004,29.0799,8.51042,2.2981,2.2123
bert_encoder_layer_7_attention_self_value_weight,Weight,"768x768",589824,8,589824,0.0795135,0.318054,407071,1.44895,30.9843,5.52125,1329.53,1283.05
bert_encoder_layer_7_attention_self_value_bias,Bias,"768",768,12,1152,32.1641,3.06989,748,1.54011,35.0694,7.79167,2.1703,2.0631
bert_encoder_layer_7_attention_output_dense_weight,Weight,"768x768",589824,12,884736,0.00322469,0.0128988,1081663,0.817941,-22.2583,14.671,1817.75,1768.41
bert_encoder_layer_7_attention_output_dense_bias,Bias,"768",768,12,1152,0.0221354,0.0885417,1058,1.08885,8.15972,11.0208,2.3358,2.2451
bert_encoder_layer_7_attention_output_LayerNorm_weight,Weight,"768",768,12,1152,315.594,0.130424,567,2.03175,50.7812,5.90625,1.8086,1.7644
bert_encoder_layer_7_attention_output_LayerNorm_bias,Bias,"768",768,12,1152,38.431,18.1465,665,1.73233,42.2743,6.92708,1.8452,1.9562
bert_encoder_layer_7_intermediate_dense_weight,Weight,"3072x768",2359296,12,3538944,0.00375832,0.0150333,4152373,0.85227,-17.3337,14.08,7329.22,7029.81
bert_encoder_layer_7_intermediate_dense_bias,Bias,"3072",3072,12,4608,180.358,8.72562,2654,1.73625,42.4045,6.91146,7.5313,7.6463
bert_encoder_layer_7_output_dense_weight,Weight,"768x3072",2359296,12,3538944,0.0363227,0.145291,2217585,1.59585,37.3377,7.51948,6700,6470.79
bert_encoder_layer_7_output_dense_bias,Bias,"768",768,12,1152,0.00651042,0.0260417,1355,0.850185,-17.6215,14.1146,2.3401,2.235
bert_encoder_layer_7_output_LayerNorm_weight,Weight,"768",768,12,1152,85.3333,0.00426599,769,1.49805,33.2465,8.01042,2.3435,2.5067
bert_encoder_layer_7_output_LayerNorm_bias,Bias,"768",768,12,1152,42.8828,18.8101,667,1.72714,42.1007,6.94792,2.1244,1.8169
bert_encoder_layer_8_attention_self_query_weight,Weight,"768x768",589824,8,589824,0.0648583,0.259433,445090,1.32518,24.5385,6.03692,1390.48,1310.04
bert_encoder_layer_8_attention_self_query_bias,Bias,"768",768,12,1152,31.1029,5.4748,783,1.47126,32.0312,8.15625,2.1969,2.1796
bert_encoder_layer_8_attention_self_key_weight,Weight,"768x768",589824,8,589824,0.0648227,0.259291,445149,1.325,24.5285,6.03772,1382.79,1294.74
bert_encoder_layer_8_attention_self_key_bias,Bias,"768",768,12,1152,28.4987,2.7332,822,1.40146,28.6458,8.5625,2.2388,2.1696
bert_encoder_layer_8_attention_self_value_weight,Weight,"768x768",589824,8,589824,0.0760227,0.304091,416012,1.41781,29.4685,5.64252,1357.02,1300.94
bert_encoder_layer_8_attention_self_value_bias,Bias,"768",768,12,1152,0.0104167,0.0416667,1205,0.956017,-4.60069,12.5521,2.3784,2.2704
bert_encoder_layer_8_attention_output_dense_weight,Weight,"768x768",589824,12,884736,0.0064426,0.0257704,917278,0.964523,-3.67816,12.4414,1823.13,1715.29
bert_encoder_layer_8_attention_output_dense_bias,Bias,"768",768,12,1152,0.0169271,0.0677083,1263,0.912114,-9.63542,13.1562,2.3232,2.6878
bert_encoder_layer_8_attention_output_LayerNorm_weight,Weight,"768",768,12,1152,328.854,0.122603,567,2.03175,50.7812,5.90625,1.8249,1.8462
bert_encoder_layer_8_attention_output_LayerNorm_bias,Bias,"768",768,12,1152,44.9753,50.8335,673,1.71174,41.5799,7.01042,2.0773,1.8724
bert_encoder_layer_8_intermediate_dense_weight,Weight,"3072x768",2359296,12,3538944,0.00422075,0.016883,4086519,0.866005,-15.4728,13.8567,7326.19,7005.34
bert_encoder_layer_8_intermediate_dense_bias,Bias,"3072",3072,12,4608,187.149,3.80058,2708,1.70162,41.2326,7.05208,7.8098,7.3807
bert_encoder_layer_8_output_dense_weight,Weight,"768x3072",2359296,12,3538944,0.0319027,0.127611,2311499,1.53102,34.6839,7.83793,6767.95,6535.34
bert_encoder_layer_8_output_dense_bias,Bias,"768",768,12,1152,0.00651042,0.0260417,1314,0.876712,-14.0625,13.6875,2.3652,2.2573
bert_encoder_layer_8_output_LayerNorm_weight,Weight,"768",768,12,1152,90.8997,0.00855329,765,1.50588,33.5938,7.96875,2.3073,2.2726
bert_encoder_layer_8_output_LayerNorm_bias,Bias,"768",768,12,1152,189.108,130.35,634,1.81703,44.9653,6.60417,1.7196,1.9042
bert_encoder_layer_9_attention_self_query_weight,Weight,"768x768",589824,8,589824,0.0629069,0.251628,450276,1.30992,23.6593,6.10726,1388.85,1333.1
