tensor_type,predictor,ctx0_zeros,ctx0_ones,ctx0_total,ctx0_p1,ctx1_zeros,ctx1_ones,ctx1_total,ctx1_p1,ctx2_zeros,ctx2_ones,ctx2_total,ctx2_p1,ctx3_zeros,ctx3_ones,ctx3_total,ctx3_p1,ctx4_zeros,ctx4_ones,ctx4_total,ctx4_p1,ctx5_zeros,ctx5_ones,ctx5_total,ctx5_p1,ctx6_zeros,ctx6_ones,ctx6_total,ctx6_p1,ctx7_zeros,ctx7_ones,ctx7_total,ctx7_p1,ctx8_zeros,ctx8_ones,ctx8_total,ctx8_p1,ctx9_zeros,ctx9_ones,ctx9_total,ctx9_p1,ctx10_zeros,ctx10_ones,ctx10_total,ctx10_p1,ctx11_zeros,ctx11_ones,ctx11_total,ctx11_p1,ctx12_zeros,ctx12_ones,ctx12_total,ctx12_p1
weight,NONE,2250768,2473998,4724766,0.523623392142595,1287382,20652026,21939408,0.941321023794261,1165422,20150340,21315762,0.9453258110125268,21326404,21949960,43276364,0.5072043483135505,4235360,7430241,11665601,0.6369359795521894,4407579,7579392,11986971,0.6323025224637651,28131730,0,28131730,0.0,28024538,107192,28131730,0.003810359334459701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15144634,28131730,43276364,0.6500483728254065
weight,MEAN,13376,133192,146568,0.9087386059712897,60467,2085096,2145563,0.9718176534550605,70431,2308574,2379005,0.9703947658790124,2380213,2146649,4526862,0.4742024386871082,492718,1026106,1518824,0.6755924320395253,343907,658243,1002150,0.6568308137504366,3140663,22,3140685,7.004841300544308e-06,3123768,16917,3140685,0.005386404558241275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1386177,3140685,4526862,0.6937885449125686
weight,NEIGHBOR,58751,296347,355098,0.8345498989011484,144552,2685487,2830039,0.9489222586685201,149013,2679002,2828015,0.9473082709957338,2829423,2831413,5660836,0.5001757690913498,674010,1126437,1800447,0.6256429653302763,677341,1129234,1806575,0.6250689841274234,3370845,279,3371124,8.27617138972046e-05,3355663,15461,3371124,0.004586304152561579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2289712,3371124,5660836,0.5955169872435803
bias,NONE,23,61,84,0.7261904761904762,13,826,839,0.9845053635280095,42,819,861,0.9512195121951219,867,839,1706,0.4917936694021102,59,95,154,0.6168831168831169,50,87,137,0.635036496350365,1505,0,1505,0.0,1470,35,1505,0.023255813953488372,1454,51,1505,0.03388704318936877,1418,87,1505,0.05780730897009967,0,0,0,0,0,0,0,0,201,1505,1706,0.8821805392731535
bias,MEAN,0,1,1,1.0,0,3,3,1.0,0,4,4,1.0,5,3,8,0.375,0,0,0,0,1,0,1,0.0,5,0,5,0.0,5,0,5,0.0,5,0,5,0.0,5,0,5,0.0,0,0,0,0,0,0,0,0,3,5,8,0.625
bias,NEIGHBOR,4,14,18,0.7777777777777778,9,39,48,0.8125,2,44,46,0.9565217391304348,48,49,97,0.5051546391752577,5,6,11,0.5454545454545454,5,5,10,0.5,72,1,73,0.0136986301369863,59,14,73,0.1917808219178082,48,25,73,0.3424657534246575,44,29,73,0.3972602739726027,0,0,0,0,0,0,0,0,24,73,97,0.7525773195876289
buffer,NONE,192980,11570,204550,0.05656318748472256,10736,16626,27362,0.6076310211241869,799,1099,1898,0.5790305584826133,1910,27385,29295,0.9348011606076122,653,496,1149,0.4316797214969539,11919,11260,23179,0.4857845463566159,2535,0,2535,0.0,2535,0,2535,0.0,2535,0,2535,0.0,0,0,0,0,2535,0,2535,0.0,2535,0,2535,0.0,26760,2535,29295,0.08653353814644137
buffer,MEAN,2181,2545,4726,0.5385103681760474,1387,34901,36288,0.9617779982363316,1090,27992,29082,0.9625197716800771,29105,36333,65438,0.5552278492618967,6564,13211,19775,0.6680657395701644,8275,19333,27608,0.7002680382497827,39879,0,39879,0.0,39879,0,39879,0.0,39879,0,39879,0.0,0,0,0,0,39879,0,39879,0.0,39879,0,39879,0.0,25559,39879,65438,0.6094165469604816
buffer,NEIGHBOR,235,485,720,0.6736111111111112,227,2879,3106,0.9269156471345782,252,2898,3150,0.92,3153,3109,6262,0.49648674544873844,693,935,1628,0.5743243243243243,663,970,1633,0.5939987752602572,3620,0,3620,0.0,3620,0,3620,0.0,3620,0,3620,0.0,0,0,0,0,3620,0,3620,0.0,3620,0,3620,0.0,2642,3620,6262,0.5780900670712232
