tensor_type,predictor,ctx0_zeros,ctx0_ones,ctx0_total,ctx0_p1,ctx1_zeros,ctx1_ones,ctx1_total,ctx1_p1,ctx2_zeros,ctx2_ones,ctx2_total,ctx2_p1,ctx3_zeros,ctx3_ones,ctx3_total,ctx3_p1,ctx4_zeros,ctx4_ones,ctx4_total,ctx4_p1,ctx5_zeros,ctx5_ones,ctx5_total,ctx5_p1,ctx6_zeros,ctx6_ones,ctx6_total,ctx6_p1,ctx7_zeros,ctx7_ones,ctx7_total,ctx7_p1,ctx8_zeros,ctx8_ones,ctx8_total,ctx8_p1,ctx9_zeros,ctx9_ones,ctx9_total,ctx9_p1,ctx10_zeros,ctx10_ones,ctx10_total,ctx10_p1,ctx11_zeros,ctx11_ones,ctx11_total,ctx11_p1,ctx12_zeros,ctx12_ones,ctx12_total,ctx12_p1
weight,NONE,9781,255332,265113,0.9631062980691253,132638,4658082,4790720,0.9723135562086701,118413,3879962,3998375,0.9703847187920093,4000358,4793018,8793376,0.5450714264919412,704444,1341333,2045777,0.6556594389320048,781848,1563270,2345118,0.6666061153425968,6316049,0,6316049,0.0,6303832,12217,6316049,0.0019342788505915644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2477327,6316049,8793376,0.7182735049655559
weight,MEAN,3215,96911,100126,0.9678904580228912,48917,1981767,2030684,0.9759110723283386,46105,1767533,1813638,0.9745787196783482,1814534,2031677,3846211,0.528228170529386,268217,532401,800618,0.6649875471198499,282832,564857,847689,0.6663493333050211,2922661,0,2922661,0.0,2913378,9283,2922661,0.0031762150998696052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923550,2922661,3846211,0.7598805681747569
weight,NEIGHBOR,28750,1222572,1251322,0.9770242991012705,600129,28832669,29432798,0.979610195401742,593682,28822806,29416488,0.9798180530592231,29430967,29447080,58878047,0.5001368336826797,3584954,7076472,10661426,0.6637453563904115,3589687,7085220,10674907,0.6637266254403903,46927149,1317,46928466,2.806398998850719e-05,46659831,268635,46928466,0.005724350759728648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11949581,46928466,58878047,0.7970452212859575
