tensor_type,predictor,total_symbols,<= 1,<= 2,<= 3,<= 4,<= 5,<= 6,<= 7,<= 8,<= 10,<= 12,<= 16
weight,NONE,8793376,0.11568207705436456,0.17215811083251756,0.22702213575309416,0.28172649503444414,0.3341947393128646,0.3843489690421517,0.4322273948026333,0.4779188334491781,0.5609183549071483,0.6340753539937335,0.750550528033829
weight,MEAN,3846211,0.09746943160424636,0.14565529556230794,0.19195072761218768,0.2401194318252431,0.28650976246492976,0.33109000000259997,0.37445241563710363,0.4162852740008283,0.49428645490328016,0.5657552328772394,0.68538127523425
weight,NEIGHBOR,58878047,0.08227825559499281,0.12294572202777039,0.16311451363188048,0.2029547787140426,0.24206585860431137,0.28026722761371486,0.31750265086068497,0.3537127343914787,0.4228019146083429,0.48719073511388716,0.6010528168503959
