tensor_type,predictor,gtx_count,rem_count,gtx_probability,rem_probability,mean_level,median_level,p90,p95,p99,maximum
weight,NONE,2477327,6316049,0.28172649503444414,0.7182735049655559,11.693530448373867,9,25,32,48,126
weight,MEAN,923550,2922661,0.2401194318252431,0.7598805681747569,13.573722034490567,11,29,37,53,129
weight,NEIGHBOR,11949581,46928466,0.2029547787140426,0.7970452212859575,16.214048726854,13,35,43,60,253
