tensor_type,predictor,ctx0_zeros,ctx0_ones,ctx0_total,ctx0_p1,ctx1_zeros,ctx1_ones,ctx1_total,ctx1_p1,ctx2_zeros,ctx2_ones,ctx2_total,ctx2_p1,ctx3_zeros,ctx3_ones,ctx3_total,ctx3_p1,ctx4_zeros,ctx4_ones,ctx4_total,ctx4_p1,ctx5_zeros,ctx5_ones,ctx5_total,ctx5_p1,ctx6_zeros,ctx6_ones,ctx6_total,ctx6_p1,ctx7_zeros,ctx7_ones,ctx7_total,ctx7_p1,ctx8_zeros,ctx8_ones,ctx8_total,ctx8_p1,ctx9_zeros,ctx9_ones,ctx9_total,ctx9_p1,ctx10_zeros,ctx10_ones,ctx10_total,ctx10_p1,ctx11_zeros,ctx11_ones,ctx11_total,ctx11_p1,ctx12_zeros,ctx12_ones,ctx12_total,ctx12_p1
weight,NONE,319636,6016872,6336508,0.949556443391218,2973345,71357045,74330390,0.9599982591238927,2970770,71298012,74268782,0.9599997479425474,74304991,74366938,148671929,0.5002083345538619,16826850,31001810,47828660,0.6481847912945919,16843948,31049909,47893857,0.6483067129047468,92888739,0,92888739,0.0,92799619,89120,92888739,0.0009594273854874916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55783190,92888739,148671929,0.6247900301340679
weight,MEAN,6437,78788,85225,0.9244705192138457,38755,970221,1008976,0.961589770222483,39028,965971,1004999,0.9611661305135627,1005491,1009489,2014980,0.5009920694001926,216036,401348,617384,0.6500783952936908,220104,408516,628620,0.6498616016035125,1291483,11,1291494,8.517267598610602e-06,1286780,4714,1291494,0.003650036314531852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723486,1291494,2014980,0.6409463121222047
weight,NEIGHBOR,47319,621429,668748,0.9292424052109315,305462,6354831,6660293,0.9541368525378688,309443,6344108,6653551,0.9534920525896623,6656849,6663519,13320368,0.5002503684582889,1744723,3219517,4964240,0.6485417707443637,1749675,3224881,4974556,0.648275142545385,7515846,106,7515952,1.4103336476869464e-05,7512610,3342,7515952,0.00044465425005375234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5804416,7515952,13320368,0.5642450719079233
bias,NONE,768,0,768,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bias,MEAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bias,NEIGHBOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
