tensor_type,predictor,ctx0_zeros,ctx0_ones,ctx0_total,ctx0_p1,ctx1_zeros,ctx1_ones,ctx1_total,ctx1_p1,ctx2_zeros,ctx2_ones,ctx2_total,ctx2_p1,ctx3_zeros,ctx3_ones,ctx3_total,ctx3_p1,ctx4_zeros,ctx4_ones,ctx4_total,ctx4_p1,ctx5_zeros,ctx5_ones,ctx5_total,ctx5_p1,ctx6_zeros,ctx6_ones,ctx6_total,ctx6_p1,ctx7_zeros,ctx7_ones,ctx7_total,ctx7_p1,ctx8_zeros,ctx8_ones,ctx8_total,ctx8_p1,ctx9_zeros,ctx9_ones,ctx9_total,ctx9_p1,ctx10_zeros,ctx10_ones,ctx10_total,ctx10_p1,ctx11_zeros,ctx11_ones,ctx11_total,ctx11_p1,ctx12_zeros,ctx12_ones,ctx12_total,ctx12_p1
weight,NONE,933324,5442008,6375332,0.8536038593754803,2695330,33810634,36505964,0.9261674065092488,2710817,34181583,36892400,0.9265209907731674,36909624,36524601,73434225,0.49737844989853164,12301482,20311196,32612678,0.6228006176003087,12238024,20167361,32405385,0.6223459773738222,31513291,0,31513291,0.0,31510592,2699,31513291,8.56464023386196e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41920934,31513291,73434225,0.4291362916950509
weight,MEAN,832,10406,11238,0.9259654742836804,5136,76706,81842,0.9372449353632609,5195,77853,83048,0.937445814468741,83087,81878,164965,0.4963355863364956,26998,44564,71562,0.622732735250552,24941,41061,66002,0.6221175115905578,78993,0,78993,0.0,78769,224,78993,0.002835694302026762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85972,78993,164965,0.478847028157488
weight,NEIGHBOR,125564,495894,621458,0.7979525567294974,247286,2610915,2858201,0.9134819419627941,245796,2618737,2864533,0.9141933432081251,2865952,2859594,5725546,0.49944476911022984,1148786,1767285,2916071,0.6060500584519376,1145698,1772172,2917870,0.6073512527974173,1881071,14,1881085,7.442513230396287e-06,1879944,1141,1881085,0.0006065648282772974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3844461,1881085,5725546,0.3285424656443246
bias,NONE,0,40,40,1.0,16,1639,1655,0.9903323262839879,18,1615,1633,0.9889773423147581,1637,1657,3294,0.5030358227079539,118,231,349,0.66189111747851,116,283,399,0.7092731829573935,2894,0,2894,0.0,2810,84,2894,0.02902557014512785,2431,463,2894,0.1599861782999309,2525,369,2894,0.12750518313752593,0,0,0,0,0,0,0,0,400,2894,3294,0.8785670916818458
bias,MEAN,0,19,19,1.0,8,365,373,0.9785522788203753,8,368,376,0.9787234042553191,377,375,752,0.49867021276595747,39,70,109,0.6422018348623854,29,59,88,0.6704545454545454,640,0,640,0.0,640,0,640,0.0,640,0,640,0.0,640,0,640,0.0,0,0,0,0,0,0,0,0,112,640,752,0.851063829787234
bias,NEIGHBOR,4,26,30,0.8666666666666667,16,996,1012,0.9841897233201581,9,997,1006,0.9910536779324056,1007,1012,2019,0.5012382367508668,61,106,167,0.6347305389221557,58,132,190,0.6947368421052632,1728,88,1816,0.048458149779735685,1694,122,1816,0.0671806167400881,1616,200,1816,0.11013215859030837,1552,264,1816,0.14537444933920704,0,0,0,0,0,0,0,0,203,1816,2019,0.8994551758296186
buffer,NONE,0,17,17,1.0,13,523,536,0.9757462686567164,3,212,215,0.986046511627907,216,536,752,0.7127659574468085,22,20,42,0.47619047619047616,214,502,716,0.7011173184357542,398,0,398,0.0,396,2,398,0.005025125628140704,397,1,398,0.002512562814070352,397,1,398,0.002512562814070352,0,0,0,0,0,0,0,0,354,398,752,0.5292553191489362
buffer,MEAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buffer,NEIGHBOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
