tensor_type,predictor,ctx0_zeros,ctx0_ones,ctx0_total,ctx0_p1,ctx1_zeros,ctx1_ones,ctx1_total,ctx1_p1,ctx2_zeros,ctx2_ones,ctx2_total,ctx2_p1,ctx3_zeros,ctx3_ones,ctx3_total,ctx3_p1,ctx4_zeros,ctx4_ones,ctx4_total,ctx4_p1,ctx5_zeros,ctx5_ones,ctx5_total,ctx5_p1,ctx6_zeros,ctx6_ones,ctx6_total,ctx6_p1,ctx7_zeros,ctx7_ones,ctx7_total,ctx7_p1,ctx8_zeros,ctx8_ones,ctx8_total,ctx8_p1,ctx9_zeros,ctx9_ones,ctx9_total,ctx9_p1,ctx10_zeros,ctx10_ones,ctx10_total,ctx10_p1,ctx11_zeros,ctx11_ones,ctx11_total,ctx11_p1,ctx12_zeros,ctx12_ones,ctx12_total,ctx12_p1
weight,NONE,82501,749329,831830,0.9008198790618276,399765,9013445,9413210,0.9575314903205177,341305,7138263,7479568,0.9543683538942356,7483310,9417727,16901037,0.5572277606397761,1969321,3480792,5450113,0.6386641891645183,2383474,4492659,6876133,0.6533699973517092,9703587,0,9703587,0.0,9683050,20537,9703587,0.002116433850698716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7197450,9703587,16901037,0.5741415156951611
weight,MEAN,3050,55543,58593,0.9479460003754715,28323,851260,879583,0.9677995140879257,26407,743449,769856,0.9656987800315904,770272,879980,1650252,0.5332397718651455,151704,293674,445378,0.6593814692238952,161450,313771,475221,0.6602633301137787,1127593,0,1127593,0.0,1124825,2768,1127593,0.002454786434467046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522659,1127593,1650252,0.683285340663123
weight,NEIGHBOR,13076,197734,210810,0.937972581945828,96896,2597852,2694748,0.964042648885907,98212,2594438,2692650,0.963525894564834,2693962,2696062,5390024,0.5001948043274019,561532,1043320,1604852,0.6501035609514149,561779,1041339,1603118,0.6495710234680167,3526537,175,3526712,4.962129031233625e-05,3510493,16219,3526712,0.004598901186147324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1863312,3526712,5390024,0.6543035800953761
buffer,NONE,33337,1100,34437,0.031942387548276566,545,190,735,0.2585034013605442,542,253,795,0.3182389937106918,802,741,1543,0.48023331173039535,171,129,300,0.43,109,40,149,0.2684563758389262,21,0,21,0.0,21,0,21,0.0,21,0,21,0.0,0,0,0,0,21,0,21,0.0,21,0,21,0.0,1522,21,1543,0.013609850939727802
buffer,MEAN,14,20,34,0.5882352941176471,5,2,7,0.2857142857142857,14,9,23,0.391304347826087,24,7,31,0.22580645161290322,3,3,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31,0.0
buffer,NEIGHBOR,71,58,129,0.4496124031007752,24,55,79,0.6962025316455697,33,47,80,0.5875,81,79,160,0.49375,23,24,47,0.5106382978723404,20,23,43,0.5348837209302325,5,0,5,0.0,5,0,5,0.0,5,0,5,0.0,0,0,0,0,5,0,5,0.0,5,0,5,0.0,155,5,160,0.03125
