tensor_type,predictor,gtx_count,rem_count,gtx_probability,rem_probability,mean_level,median_level,p90,p95,p99,maximum
weight,NONE,41920934,31513291,0.570863708304949,0.4291362916950509,5.07179270973446,4,12,15,23,127
weight,MEAN,85972,78993,0.5211529718425121,0.478847028157488,7.142139241657321,4,17,26,47,126
weight,NEIGHBOR,3844461,1881085,0.6714575343556755,0.3285424656443246,4.385480790827635,3,10,15,28,182
bias,NONE,400,2894,0.12143290831815422,0.8785670916818458,180.24529447480268,33,735,915,1187,2042
bias,MEAN,112,640,0.14893617021276595,0.851063829787234,25.954787234042552,19,61,77,109,136
bias,NEIGHBOR,203,1816,0.10054482417038138,0.8994551758296186,296.4591381872214,40,1030,1881,2582,3698
buffer,NONE,354,398,0.47074468085106386,0.5292553191489362,19.283244680851062,5,44,59,117,2038
