tensor_type,predictor,total_symbols,<= 1,<= 2,<= 3,<= 4,<= 5,<= 6,<= 7,<= 8,<= 10,<= 12,<= 16
weight,NONE,73434225,0.2820183232001155,0.39191299424757325,0.4874378533987388,0.570863708304949,0.6429622427417189,0.7045577726189661,0.7567400214273385,0.8006743041136473,0.8677088510159943,0.9132054433746662,0.9634207346778699
weight,MEAN,164965,0.24872548722456278,0.3524202103476495,0.4432637226078259,0.5211529718425121,0.5919134361834328,0.6523444366986937,0.699584760403722,0.7376837510987179,0.7962537507956233,0.8429303185524202,0.892953050647107
weight,NEIGHBOR,5725546,0.3396760763078316,0.4732928527689761,0.5832168670027278,0.6714575343556755,0.7406065727181302,0.7939866346371158,0.8347516551259915,0.8656725489586495,0.9075765001276734,0.9329574856266983,0.9601823127436231
bias,NONE,3294,0.04432301153612629,0.06952034001214329,0.09441408621736491,0.12143290831815422,0.14602307225258046,0.1618093503339405,0.18184578020643594,0.20006071645415907,0.23588342440801457,0.27140255009107467,0.3321190042501518
bias,MEAN,752,0.0625,0.08776595744680851,0.125,0.14893617021276595,0.1768617021276596,0.21143617021276595,0.2473404255319149,0.27393617021276595,0.3271276595744681,0.38563829787234044,0.4627659574468085
bias,NEIGHBOR,2019,0.04210004952947004,0.06141654284299158,0.08023774145616643,0.10054482417038138,0.11936602278355622,0.1411589895988113,0.1579990094105993,0.17087667161961367,0.1986131748390292,0.22585438335809807,0.2818226844972759
buffer,NONE,752,0.1196808510638298,0.2300531914893617,0.3683510638297872,0.47074468085106386,0.5332446808510638,0.5811170212765957,0.6050531914893617,0.625,0.6555851063829787,0.675531914893617,0.7327127659574468
