tensor_type,predictor,gtx_count,rem_count,gtx_probability,rem_probability,mean_level,median_level,p90,p95,p99,maximum
weight,NONE,24805943,49156449,0.3353858944962191,0.6646141055037809,10.027101273306574,7,22,28,44,127
weight,MEAN,4092101,8724510,0.319281048632903,0.6807189513670969,9.735783429800593,8,21,26,36,137
weight,NEIGHBOR,106023,105211,0.5019220390656807,0.4980779609343193,8.582595604874216,4,21,31,62,146
bias,MEAN,41,726,0.05345501955671447,0.9465449804432855,96.59713168187744,43,96,111,164,32137
