tensor_type,predictor,ctx0_zeros,ctx0_ones,ctx0_total,ctx0_p1,ctx1_zeros,ctx1_ones,ctx1_total,ctx1_p1,ctx2_zeros,ctx2_ones,ctx2_total,ctx2_p1,ctx3_zeros,ctx3_ones,ctx3_total,ctx3_p1,ctx4_zeros,ctx4_ones,ctx4_total,ctx4_p1,ctx5_zeros,ctx5_ones,ctx5_total,ctx5_p1,ctx6_zeros,ctx6_ones,ctx6_total,ctx6_p1,ctx7_zeros,ctx7_ones,ctx7_total,ctx7_p1,ctx8_zeros,ctx8_ones,ctx8_total,ctx8_p1,ctx9_zeros,ctx9_ones,ctx9_total,ctx9_p1,ctx10_zeros,ctx10_ones,ctx10_total,ctx10_p1,ctx11_zeros,ctx11_ones,ctx11_total,ctx11_p1,ctx12_zeros,ctx12_ones,ctx12_total,ctx12_p1
weight,NONE,683634,3073214,3756848,0.8180299016622445,1520310,43378851,44899161,0.9661394563697971,1508913,43079238,44588151,0.9661588792950845,44611031,44920272,89531303,0.5017269993267047,8012770,15015998,23028768,0.6520539005820893,8055938,15119497,23175435,0.6523932344743475,62674222,0,62674222,0.0,62545383,128839,62674222,0.002055693647062743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26857081,62674222,89531303,0.7000257999149191
weight,MEAN,10108,249860,259968,0.9611182914820285,121552,4449505,4571057,0.9734083385965215,123821,4463138,4586959,0.9730058629257423,4589184,4573319,9162503,0.4991342431211209,705007,1372558,2077565,0.6606570672879067,703619,1359578,2063197,0.6589666425455252,6809244,20,6809264,2.9371750015860747e-06,6800075,9189,6809264,0.001349485054478722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2353239,6809264,9162503,0.743166359672679
weight,NEIGHBOR,119509,1036508,1156017,0.8966200324043677,514380,6190921,6705301,0.923287560096109,515545,6190049,6705594,0.9231171764947296,6708886,6708592,13417478,0.49998904414078416,2713772,4369448,7083220,0.616873117028696,2714082,4364158,7078240,0.6165597662695811,4484945,109,4485054,2.430294038823167e-05,4481717,3337,4485054,0.0007440267162892576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8932424,4485054,13417478,0.33426952516709924
bias,NONE,24519,116,24635,0.004708747716663284,49,1840,1889,0.9740603493912123,59,1577,1636,0.9639364303178484,1640,1893,3533,0.5358052646476082,184,355,539,0.6586270871985158,189,436,625,0.6976,2878,0,2878,0.0,2862,16,2878,0.005559416261292564,2858,20,2878,0.006949270326615705,2837,41,2878,0.014246004169562195,0,0,0,0,0,0,0,0,655,2878,3533,0.8146051514293802
bias,MEAN,15,194,209,0.9282296650717703,99,4705,4804,0.9793921731890092,79,4647,4726,0.983283961066441,4741,4805,9546,0.5033521893987011,581,1075,1656,0.6491545893719807,589,1129,1718,0.6571594877764843,7666,0,7666,0.0,7641,25,7666,0.0032611531437516305,7618,48,7666,0.006261414036003131,7542,124,7666,0.016175319593008088,0,0,0,0,0,0,0,0,1880,7666,9546,0.8030588728263147
bias,NEIGHBOR,12509316,24514,12533830,0.001955826750482494,12245,385,12630,0.030482977038796516,12268,376,12644,0.029737424865548878,12645,12630,25275,0.49970326409495547,32,55,87,0.632183908045977,16,43,59,0.7288135593220338,674,0,674,0.0,670,4,674,0.005934718100890208,669,5,674,0.00741839762611276,663,11,674,0.016320474777448073,0,0,0,0,0,0,0,0,24601,674,25275,0.02666666666666667
