tensor_type,predictor,ctx0_zeros,ctx0_ones,ctx0_total,ctx0_p1,ctx1_zeros,ctx1_ones,ctx1_total,ctx1_p1,ctx2_zeros,ctx2_ones,ctx2_total,ctx2_p1,ctx3_zeros,ctx3_ones,ctx3_total,ctx3_p1,ctx4_zeros,ctx4_ones,ctx4_total,ctx4_p1,ctx5_zeros,ctx5_ones,ctx5_total,ctx5_p1,ctx6_zeros,ctx6_ones,ctx6_total,ctx6_p1,ctx7_zeros,ctx7_ones,ctx7_total,ctx7_p1,ctx8_zeros,ctx8_ones,ctx8_total,ctx8_p1,ctx9_zeros,ctx9_ones,ctx9_total,ctx9_p1,ctx10_zeros,ctx10_ones,ctx10_total,ctx10_p1,ctx11_zeros,ctx11_ones,ctx11_total,ctx11_p1,ctx12_zeros,ctx12_ones,ctx12_total,ctx12_p1
weight,NONE,57220,140051,197271,0.7099421607838963,72700,1664660,1737360,0.9581549016899203,65720,1523953,1589673,0.9586581642891336,1590500,1738164,3328664,0.5221806706834934,277477,506869,784346,0.6462313825786069,300038,559378,859416,0.6508815288521508,2366164,0,2366164,0.0,2356321,9843,2366164,0.004159897623326194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962500,2366164,3328664,0.7108449516082128
weight,MEAN,524,10898,11422,0.9541236210821222,5530,152168,157698,0.9649329731512131,5214,137314,142528,0.9634177144140099,142601,157779,300380,0.5252646647579733,29505,55528,85033,0.6530170639634024,32256,62314,94570,0.658919319022946,197430,0,197430,0.0,197016,414,197430,0.0020969457529250875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102950,197430,300380,0.6572674612157934
weight,NEIGHBOR,9970,12306,22276,0.5524331118692763,5859,121713,127572,0.9540729940739348,6316,120668,126984,0.9502614502614503,127041,127646,254687,0.5011877323930942,32181,57860,90041,0.6425961506424851,32326,57222,89548,0.6390092464376648,147471,23,147494,0.0001559385466527452,146950,544,147494,0.0036882856251779735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107193,147494,254687,0.5791186829323837
bias,NONE,46,55,101,0.5445544554455446,12,18,30,0.6,41,68,109,0.6238532110091743,111,30,141,0.2127659574468085,2,0,2,0.0,0,0,0,0,139,0,139,0.0,116,23,139,0.16546762589928057,86,53,139,0.381294964028777,85,54,139,0.38848920863309355,0,0,0,0,0,0,0,0,2,139,141,0.9858156028368794
bias,MEAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bias,NEIGHBOR,49,43,92,0.4673913043478261,26,20,46,0.43478260869565216,16,30,46,0.6521739130434783,46,47,93,0.5053763440860215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,93,0.0
buffer,NONE,20450,457,20907,0.021858707609891424,62,56,118,0.4745762711864407,388,203,591,0.34348561759729274,593,123,716,0.1717877094972067,131,116,247,0.46963562753036436,45,45,90,0.5,34,0,34,0.0,34,0,34,0.0,34,0,34,0.0,0,0,0,0,34,0,34,0.0,34,0,34,0.0,682,34,716,0.04748603351955307
buffer,MEAN,378,391,769,0.5084525357607282,131,212,343,0.6180758017492711,253,320,573,0.5584642233856894,575,348,923,0.37703141928494044,101,53,154,0.34415584415584416,56,119,175,0.68,31,0,31,0.0,31,0,31,0.0,31,0,31,0.0,0,0,0,0,31,0,31,0.0,31,0,31,0.0,892,31,923,0.03358613217768147
buffer,NEIGHBOR,177,233,410,0.5682926829268292,117,255,372,0.6854838709677419,114,248,362,0.6850828729281768,363,373,736,0.5067934782608695,108,17,125,0.136,95,18,113,0.1592920353982301,4,0,4,0.0,4,0,4,0.0,4,0,4,0.0,0,0,0,0,4,0,4,0.0,4,0,4,0.0,732,4,736,0.005434782608695652
