tensor_type,predictor,gtx_count,rem_count,gtx_probability,rem_probability,mean_level,median_level,p90,p95,p99,maximum
weight,NONE,18819730,33612998,0.3589309715107709,0.6410690284892291,10.109848051392634,7,24,31,46,126
weight,MEAN,4835690,17733149,0.21426401242881835,0.7857359875711817,15.143533125474464,12,32,40,58,145
weight,NEIGHBOR,4806605,3537211,0.576067952601064,0.4239320473989359,4.879345254018066,4,11,14,22,157
bias,NONE,66,699,0.08627450980392157,0.9137254901960784,41.78692810457516,30,83,102,153,1900
bias,MEAN,1865,16633,0.10082171045518434,0.8991782895448156,40.68315493566872,29,89,117,196,2098
bias,NEIGHBOR,1479,8453,0.14891260571888845,0.8510873942811116,45.12223117196939,31,100,134,222,1796
buffer,NEIGHBOR,511,0,1.0,0.0,0.0,0,0,0,0,0
