tensor_type,predictor,total_symbols,<= 1,<= 2,<= 3,<= 4,<= 5,<= 6,<= 7,<= 8,<= 10,<= 12,<= 16
weight,NONE,52432728,0.153130064108051,0.22573668110497702,0.2944407546370656,0.3589309715107709,0.4185913042708745,0.47325428118102114,0.5229703096890171,0.5680548034807573,0.6453167761936781,0.708012617615471,0.8007325310252787
weight,MEAN,22568839,0.08666679752556168,0.12962412466144138,0.17218364666432331,0.21426401242881835,0.25550020539381757,0.2959312173745402,0.33528508045983224,0.3736024258935074,0.4464417066380774,0.5139414127594246,0.6319698589723645
weight,NEIGHBOR,8343816,0.2586982982366821,0.37599666627356115,0.48185422593211547,0.576067952601064,0.6568647966350168,0.7248756444293594,0.780694109266072,0.8263009395221563,0.8911895947849281,0.9315777097673295,0.9716810629572847
bias,NONE,765,0.03398692810457516,0.048366013071895426,0.058823529411764705,0.08627450980392157,0.10588235294117647,0.12549019607843137,0.1450980392156863,0.1607843137254902,0.1830065359477124,0.21568627450980393,0.27320261437908494
bias,MEAN,18498,0.03859876743431722,0.058330630338414964,0.07925181100659531,0.10082171045518434,0.11995891447724079,0.1380149205319494,0.15655746567196455,0.17391069304789708,0.20807654881608822,0.2415396259055033,0.30835766028759864
bias,NEIGHBOR,9932,0.08809907370116794,0.11286749899315345,0.1333064840918244,0.14891260571888845,0.16290777285541683,0.17871526379379782,0.19220700765203383,0.20761175996778092,0.23630688683044704,0.26449859041482077,0.31866693515908173
buffer,NEIGHBOR,511,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
