tensor_type,predictor,gtx_count,rem_count,gtx_probability,rem_probability,mean_level,median_level,p90,p95,p99,maximum
weight,NONE,7787635,2488766,0.7578173525926052,0.24218264740739487,3.247868392835196,2,7,10,19,127
weight,MEAN,11914,15053,0.4417992361033856,0.5582007638966143,8.34768420662291,5,20,26,43,95
weight,NEIGHBOR,9667263,2316138,0.8067211470266246,0.1932788529733754,2.555809990836491,2,6,8,13,181
bias,MEAN,3711,10301,0.2648444190693691,0.7351555809306309,13.30224093634028,10,29,38,63,165
