tensor_type,predictor,total_symbols,<= 1,<= 2,<= 3,<= 4,<= 5,<= 6,<= 7,<= 8,<= 10,<= 12,<= 16
weight,NONE,10276401,0.4003898835788911,0.5515971982798258,0.6690393845082534,0.7578173525926052,0.8222084755158932,0.8686383491652379,0.9016560369724771,0.9253331978773502,0.9548287381934589,0.9708033970258654,0.9855775382840744
weight,MEAN,26967,0.20176512033225794,0.29161567842177477,0.37141691697259616,0.4417992361033856,0.5042459302109986,0.5574591166981867,0.6056291022360663,0.6481625690658953,0.7169503467200653,0.7735751103200208,0.85519338450699
weight,NEIGHBOR,11983401,0.48043447765788694,0.6238124719351376,0.7290675660440638,0.8067211470266246,0.8629690352513447,0.9032955669262841,0.9318811913245664,0.9520458340666393,0.976049704086511,0.9877955348402344,0.9964288936004061
bias,MEAN,14012,0.10740793605481017,0.16592920353982302,0.21388809591778477,0.2648444190693691,0.3149443334284899,0.3586211818441336,0.40465315443905225,0.44768769626034827,0.5291178989437625,0.6036968312874679,0.7173850984870112
