tensor_type,predictor,total_symbols,<= 1,<= 2,<= 3,<= 4,<= 5,<= 6,<= 7,<= 8,<= 10,<= 12,<= 16
weight,NONE,16901037,0.18424549925545988,0.2705169511196266,0.35104011665083035,0.4258584843048388,0.4937076937941737,0.5546677402102604,0.6088593262058417,0.6568700488614988,0.7358567997928175,0.7958850098961383,0.8755052130824872
weight,MEAN,1650252,0.1313460004896222,0.19529805144911203,0.2554076589514814,0.31671465933687704,0.37341084876733976,0.42653606843076086,0.47635936814498636,0.523421271417941,0.6058317153986179,0.6762639887726238,0.7830398024059356
weight,NEIGHBOR,5390024,0.14843254872334521,0.21816118072943647,0.2837330594446333,0.3456964199046238,0.40314885425371016,0.4560326633053953,0.5041209464002386,0.5477239062386364,0.6228942579847511,0.684761143920695,0.7772896744059025
buffer,NONE,1543,0.9157485418016851,0.9552819183408944,0.9786130913804277,0.9863901490602722,0.9922229423201555,0.9954633830200907,0.9974076474400518,0.9974076474400518,0.998703823720026,0.9993519118600129,1.0
buffer,MEAN,31,0.9354838709677419,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer,NEIGHBOR,160,0.775,0.9,0.9375,0.96875,0.9875,0.99375,1.0,1.0,1.0,1.0,1.0
