tensor_type,predictor,gtx_count,rem_count,gtx_probability,rem_probability,mean_level,median_level,p90,p95,p99,maximum
weight,NONE,7197450,9703587,0.4258584843048388,0.5741415156951611,8.101574654856977,6,18,25,42,126
weight,MEAN,522659,1127593,0.31671465933687704,0.683285340663123,10.818511354629475,8,24,31,47,129
weight,NEIGHBOR,1863312,3526712,0.3456964199046238,0.6543035800953761,11.045170856382086,7,26,34,54,229
buffer,NONE,1522,21,0.9863901490602722,0.013609850939727802,0.39079714841218405,0,1,2,5,16
buffer,MEAN,31,0,1.0,0.0,0.1935483870967742,0,0,1,3,3
buffer,NEIGHBOR,155,5,0.96875,0.03125,0.76875,0,2,4,5,7
