id,name,type,bitwidth,num_elements,regularBins,bypassBins,totalBins,ops_total,mem,branches,loops,bins_per_weight,ops_per_bin,branches_per_bin,mem_per_bin,ops_per_weight
0,features.0.0.weight,weight,8,1728,7628,3682,11310,129765,16652,37974,5544,6.545138888888889,11.473474801061007,3.3575596816976128,1.4723253757736516,75.09548611111111
1,features.0.1.weight,weight,8,64,0,513,513,3795,64,752,512,8.015625,7.39766081871345,1.46588693957115,0.12475633528265107,59.296875
2,features.0.1.bias,bias,12,64,0,769,769,6044,96,1235,832,12.015625,7.859557867360208,1.6059817945383614,0.12483745123537061,94.4375
3,features.1.0.block.0.0.weight,weight,8,576,2553,1095,3648,42593,5581,12636,1790,6.333333333333333,11.675712719298245,3.463815789473684,1.5298793859649122,73.94618055555556
4,features.1.0.block.0.1.weight,weight,8,64,0,513,513,3879,64,780,512,8.015625,7.56140350877193,1.5204678362573099,0.12475633528265107,60.609375
5,features.1.0.block.0.1.bias,bias,12,64,0,769,769,6080,96,1247,832,12.015625,7.906371911573472,1.621586475942783,0.12483745123537061,95.0
6,features.1.0.block.1.fc1.weight,weight,8,1024,4131,2482,6613,73927,9169,21533,3329,6.4580078125,11.179041282322698,3.2561621049448055,1.3865114169060941,72.1943359375
7,features.1.0.block.1.fc1.bias,bias,12,16,0,193,193,1582,25,332,208,12.0625,8.196891191709845,1.7202072538860103,0.12953367875647667,98.875
8,features.1.0.block.1.fc2.weight,weight,8,1024,0,8193,8193,64818,1024,13413,8192,8.0009765625,7.911387770047601,1.637129256682534,0.1249847430733553,63.298828125
9,features.1.0.block.1.fc2.bias,bias,12,64,0,769,769,5876,96,1179,832,12.015625,7.64109232769831,1.5331599479843954,0.12483745123537061,91.8125
10,features.1.0.block.2.0.weight,weight,8,2048,9316,5638,14954,165853,20379,48418,7800,7.3017578125,11.090878694663635,3.2377959074495117,1.3627791895145112,80.98291015625
11,features.1.0.block.2.1.weight,weight,8,32,0,257,257,1992,32,407,256,8.03125,7.750972762645914,1.583657587548638,0.1245136186770428,62.25
12,features.1.0.block.2.1.bias,bias,12,32,0,385,385,3025,48,618,416,12.03125,7.857142857142857,1.6051948051948053,0.12467532467532468,94.53125
13,features.1.1.block.0.0.weight,weight,8,288,1361,974,2335,25067,2976,7098,1219,8.10763888888889,10.735331905781585,3.0398286937901497,1.2745182012847966,87.03819444444444
14,features.1.1.block.0.1.weight,weight,8,32,0,257,257,1959,32,396,256,8.03125,7.622568093385214,1.5408560311284047,0.1245136186770428,61.21875
15,features.1.1.block.0.1.bias,bias,12,32,0,385,385,2974,48,601,416,12.03125,7.724675324675324,1.561038961038961,0.12467532467532468,92.9375
16,features.1.1.block.1.fc1.weight,weight,8,256,1112,513,1625,18818,2450,5584,797,6.34765625,11.580307692307692,3.4363076923076923,1.5076923076923077,73.5078125
17,features.1.1.block.1.fc1.bias,bias,12,8,0,97,97,802,12,169,104,12.125,8.268041237113403,1.7422680412371134,0.12371134020618557,100.25
18,features.1.1.block.1.fc2.weight,weight,8,256,0,2049,2049,16215,256,3356,2048,8.00390625,7.913616398243045,1.6378721327476817,0.12493899463152758,63.33984375
19,features.1.1.block.1.fc2.bias,bias,12,32,0,385,385,3036,49,622,416,12.03125,7.885714285714286,1.6155844155844157,0.12727272727272726,94.875
20,features.1.1.block.2.0.weight,weight,8,1024,4913,4019,8932,93824,10762,26286,4796,8.72265625,10.504254366323332,2.9429019256605464,1.2048813255709807,91.625
21,features.1.1.block.2.1.weight,weight,8,32,0,257,257,1950,32,393,256,8.03125,7.587548638132295,1.5291828793774318,0.1245136186770428,60.9375
22,features.1.1.block.2.1.bias,bias,12,32,0,385,385,3058,48,629,416,12.03125,7.942857142857143,1.6337662337662338,0.12467532467532468,95.5625
23,features.1.2.block.0.0.weight,weight,8,288,1383,808,2191,24205,3007,6921,1101,7.607638888888889,11.047466910086719,3.1588315837517116,1.3724326791419443,84.04513888888889
24,features.1.2.block.0.1.weight,weight,8,32,0,257,257,2010,32,413,256,8.03125,7.821011673151751,1.6070038910505837,0.1245136186770428,62.8125
25,features.1.2.block.0.1.bias,bias,12,32,0,385,385,3031,48,620,416,12.03125,7.872727272727273,1.6103896103896105,0.12467532467532468,94.71875
26,features.1.2.block.1.fc1.weight,weight,8,256,1305,1159,2464,25378,2855,7019,1332,9.625,10.299512987012987,2.8486201298701297,1.1586850649350648,99.1328125
27,features.1.2.block.1.fc1.bias,bias,12,8,0,97,97,775,12,160,104,12.125,7.989690721649485,1.6494845360824741,0.12371134020618557,96.875
28,features.1.2.block.1.fc2.weight,weight,8,256,1220,867,2087,22388,2653,6241,1051,8.15234375,10.727359846669861,2.990416866315285,1.2712026832774317,87.453125
29,features.1.2.block.1.fc2.bias,bias,12,32,0,385,385,3019,48,616,416,12.03125,7.841558441558441,1.6,0.12467532467532468,94.34375
