id,name,type,bitwidth,num_elements,regularBins,bypassBins,totalBins,ops_total,mem,branches,loops,bins_per_weight,ops_per_bin,branches_per_bin,mem_per_bin,ops_per_weight
85,bert.encoder.layer.5.attention.self.query.weight,Weight,8,589824,3018401,1593421,4611822,49450843,6478568,14251074,2012357,7.818979899088542,10.722626111762336,3.09011796205491,1.4047740784444847,83.83999803331163
86,bert.encoder.layer.5.attention.self.query.bias,Bias,12,768,0,9217,9217,72741,1152,14902,9984,12.001302083333334,7.8920473038949766,1.6167950526201584,0.12498643810350439,94.71484375
87,bert.encoder.layer.5.attention.self.key.weight,Weight,8,589824,3020282,1590969,4611251,49467749,6482497,14260435,2013318,7.818011813693577,10.727620118705314,3.092530638648818,1.4058000746435186,83.86866082085504
88,bert.encoder.layer.5.attention.self.key.bias,Bias,12,768,0,9217,9217,72969,1152,14978,9984,12.001302083333334,7.916784203102962,1.6250406856894868,0.12498643810350439,95.01171875
89,bert.encoder.layer.5.attention.self.value.weight,Weight,8,589824,3021279,1298256,4319535,48628781,6466228,14274587,1977062,7.3234303792317705,11.257874053572896,3.3046582560391338,1.4969731695657056,82.44625684950087
90,bert.encoder.layer.5.attention.self.value.bias,Bias,12,768,0,9217,9217,72726,1152,14897,9984,12.001302083333334,7.890419876315504,1.6162525767603342,0.12498643810350439,94.6953125
91,bert.encoder.layer.5.attention.output.dense.weight,Weight,12,589824,0,7078176,7078176,56029071,884772,11499889,7667712,12.00048828125,7.915749905060287,1.6246966732672372,0.125,94.99286397298177
92,bert.encoder.layer.5.attention.output.dense.bias,Bias,12,768,0,9217,9217,72791,1153,14919,9984,12.001302083333334,7.897472062493219,1.6186394705435607,0.12509493327546925,94.77994791666667
93,bert.encoder.layer.5.attention.output.LayerNorm.weight,Weight,12,768,0,9217,9217,70524,1152,14163,9984,12.001302083333334,7.65151350764891,1.536617120538136,0.12498643810350439,91.828125
94,bert.encoder.layer.5.attention.output.LayerNorm.bias,Bias,12,768,0,9217,9217,73428,1152,15131,9984,12.001302083333334,7.966583487034827,1.6416404470001085,0.12498643810350439,95.609375
95,bert.encoder.layer.5.intermediate.dense.weight,Weight,12,2359296,0,28312704,28312704,224110674,3539088,45997686,30670848,12.00048828125,7.915551760792611,1.624630625178012,0.125,94.99048614501953
96,bert.encoder.layer.5.intermediate.dense.bias,Bias,12,3072,0,36866,36866,302400,4608,63422,39936,12.000651041666666,8.202679976129767,1.720338523300602,0.12499321868388216,98.4375
97,bert.encoder.layer.5.output.dense.weight,Weight,12,2359296,15200972,7627756,22828728,249044622,32368613,70249043,9587021,9.676076253255209,10.909264064121313,3.0772210786339036,1.4178894680421967,105.55887095133464
98,bert.encoder.layer.5.output.dense.bias,Bias,12,768,0,9217,9217,72657,1152,14874,9984,12.001302083333334,7.882933709449929,1.6137571878051427,0.12498643810350439,94.60546875
99,bert.encoder.layer.5.output.LayerNorm.weight,Weight,12,768,0,9217,9217,73752,1152,15239,9984,12.001302083333334,8.001735922751438,1.653357925572312,0.12498643810350439,96.03125
100,bert.encoder.layer.5.output.LayerNorm.bias,Bias,12,768,0,9217,9217,74250,1152,15405,9984,12.001302083333334,8.055766518389932,1.6713681241184768,0.12498643810350439,96.6796875
101,bert.encoder.layer.6.attention.self.query.weight,Weight,8,589824,3019033,1569073,4588106,49163764,6477098,14161567,1973071,7.778771294487847,10.71548129010097,3.086582350102635,1.411714986532569,83.35327826605902
102,bert.encoder.layer.6.attention.self.query.bias,Bias,12,768,0,9217,9217,72948,1152,14971,9984,12.001302083333334,7.9145058044917,1.6242812194857328,0.12498643810350439,94.984375
103,bert.encoder.layer.6.attention.self.key.weight,Weight,8,589824,3019404,1570937,4590341,49216021,6478396,14181900,1980639,7.782560560438368,10.721648130280517,3.0895090364746323,1.4113104015584028,83.44187588161893
104,bert.encoder.layer.6.attention.self.key.bias,Bias,12,768,0,9217,9217,73104,1152,15023,9984,12.001302083333334,7.931431051318216,1.6299229684279049,0.12498643810350439,95.1875
105,bert.encoder.layer.6.attention.self.value.weight,Weight,8,589824,3022413,1226560,4248973,48023067,6461699,14111879,1901307,7.203798082139757,11.30227633830575,3.3212446866572227,1.5207672536398795,81.41931660970052
106,bert.encoder.layer.6.attention.self.value.bias,Bias,12,768,0,9217,9217,72852,1152,14939,9984,12.001302083333334,7.904090267983075,1.6208093739828577,0.12498643810350439,94.859375
107,bert.encoder.layer.6.attention.output.dense.weight,Weight,12,589824,0,7078176,7078176,56033592,884772,11501396,7667712,12.00048828125,7.916388628934912,1.6249095812254457,0.125,95.00052897135417
108,bert.encoder.layer.6.attention.output.dense.bias,Bias,12,768,0,9217,9217,72863,1153,14943,9984,12.001302083333334,7.905283714874688,1.6212433546707172,0.12509493327546925,94.87369791666667
109,bert.encoder.layer.6.attention.output.LayerNorm.weight,Weight,12,768,0,9217,9217,70875,1152,14280,9984,12.001302083333334,7.689595313008571,1.5493110556580232,0.12498643810350439,92.28515625
110,bert.encoder.layer.6.attention.output.LayerNorm.bias,Bias,12,768,0,9217,9217,73110,1152,15025,9984,12.001302083333334,7.932082022350006,1.6301399587718346,0.12498643810350439,95.1953125
111,bert.encoder.layer.6.intermediate.dense.weight,Weight,12,2359296,0,28312704,28312704,224130291,3539088,46004225,30670848,12.00048828125,7.916244629972468,1.6248615815712975,0.125,94.99880091349284
112,bert.encoder.layer.6.intermediate.dense.bias,Bias,12,3072,0,36866,36866,303633,4608,63833,39936,12.000651041666666,8.236125427222916,1.7314870069983181,0.12499321868388216,98.8388671875
113,bert.encoder.layer.6.output.dense.weight,Weight,12,2359296,15458486,9446437,24904923,264634003,33065458,74097852,11036639,10.556082407633463,10.625770776324023,2.975229114340165,1.327667545890425,112.16651195949979
114,bert.encoder.layer.6.output.dense.bias,Bias,12,768,0,9217,9217,72864,1152,14943,9984,12.001302083333334,7.905392210046653,1.6212433546707172,0.12498643810350439,94.875
115,bert.encoder.layer.6.output.LayerNorm.weight,Weight,12,768,0,9217,9217,74829,1152,15598,9984,12.001302083333334,8.118585222957579,1.6923076923076923,0.12498643810350439,97.43359375
116,bert.encoder.layer.6.output.LayerNorm.bias,Bias,12,768,0,9217,9217,74916,1152,15627,9984,12.001302083333334,8.12802430291852,1.6954540522946728,0.12498643810350439,97.546875
117,bert.encoder.layer.7.attention.self.query.weight,Weight,8,589824,3019000,1599260,4618260,49473387,6480309,14252527,2013134,7.82989501953125,10.712559925166621,3.0861248608783396,1.403192760909953,83.87821960449219
118,bert.encoder.layer.7.attention.self.query.bias,Bias,12,768,0,9217,9217,72897,1152,14954,9984,12.001302083333334,7.908972550721493,1.6224368015623305,0.12498643810350439,94.91796875
119,bert.encoder.layer.7.attention.self.key.weight,Weight,8,589824,3018430,1601948,4620378,49471863,6479225,14248301,2012195,7.833485921223958,10.707319401139907,3.0837955249548847,1.4023149188226591,83.87563578287761
120,bert.encoder.layer.7.attention.self.key.bias,Bias,12,768,0,9217,9217,72816,1152,14927,9984,12.001302083333334,7.90018444179234,1.6195074319192795,0.12498643810350439,94.8125
121,bert.encoder.layer.7.attention.self.value.weight,Weight,8,589824,3023432,1212075,4235507,48208270,6463614,14199259,1933099,7.180967542860243,11.381936094073271,3.3524343130586254,1.526054377905644,81.73331366644965
122,bert.encoder.layer.7.attention.self.value.bias,Bias,12,768,0,9217,9217,16518,1152,3457,1536,12.001302083333334,1.7921232505153522,0.37506780948247803,0.12498643810350439,21.5078125
123,bert.encoder.layer.7.attention.output.dense.weight,Weight,12,589824,0,7078176,7078176,12683016,884772,2654532,1179648,12.00048828125,1.7918480693331162,0.3750305163364121,0.125,21.5030517578125
124,bert.encoder.layer.7.attention.output.dense.bias,Bias,12,768,0,9217,9217,16518,1152,3457,1536,12.001302083333334,1.7921232505153522,0.37506780948247803,0.12498643810350439,21.5078125
125,bert.encoder.layer.7.attention.output.LayerNorm.weight,Weight,12,768,0,9217,9217,16520,1153,3458,1536,12.001302083333334,1.7923402408592817,0.3751763046544429,0.12509493327546925,21.510416666666668
126,bert.encoder.layer.7.attention.output.LayerNorm.bias,Bias,12,768,0,9217,9217,16518,1152,3457,1536,12.001302083333334,1.7921232505153522,0.37506780948247803,0.12498643810350439,21.5078125
127,bert.encoder.layer.7.intermediate.dense.weight,Weight,12,2359296,0,28312704,28312704,50732064,3539088,10618128,4718592,12.00048828125,1.7918480693331162,0.3750305163364121,0.125,21.5030517578125
128,bert.encoder.layer.7.intermediate.dense.bias,Bias,12,3072,0,36866,36866,66060,4608,13826,6144,12.000651041666666,1.791894970975967,0.37503390658058916,0.12499321868388216,21.50390625
129,bert.encoder.layer.7.output.dense.weight,Weight,12,2359296,15721874,12193735,27915609,287029575,33889200,79930753,13409607,11.83217748006185,10.28204596933565,2.8632996328326565,1.2139874863557518,121.65899276733398
130,bert.encoder.layer.7.output.dense.bias,Bias,12,768,0,9217,9217,73038,1152,15001,9984,12.001302083333334,7.924270369968537,1.6275360746446783,0.12498643810350439,95.1015625
131,bert.encoder.layer.7.output.LayerNorm.weight,Weight,12,768,0,9217,9217,72843,1152,14936,9984,12.001302083333334,7.903113811435391,1.6204838884669632,0.12498643810350439,94.84765625
132,bert.encoder.layer.7.output.LayerNorm.bias,Bias,12,768,0,9217,9217,75152,1153,15706,9984,12.001302083333334,8.153629163502224,1.704025170879896,0.12509493327546925,97.85416666666667
133,bert.encoder.layer.8.attention.self.query.weight,Weight,8,589824,3018261,1609492,4627753,49418664,6479010,14217335,2001899,7.845989651150173,10.678760080756255,3.07218967823045,1.4000336664467616,83.78544108072917
134,bert.encoder.layer.8.attention.self.query.bias,Bias,12,768,0,9217,9217,72881,1153,14949,9984,12.001302083333334,7.907236627970056,1.6218943257025062,0.12509493327546925,94.89713541666667
135,bert.encoder.layer.8.attention.self.key.weight,Weight,8,589824,3017649,1610970,4628619,49407934,6477769,14214490,2000771,7.8474578857421875,10.67444393241267,3.0710002270655674,1.3995036100400573,83.76724921332465
136,bert.encoder.layer.8.attention.self.key.bias,Bias,12,768,0,9217,9217,72981,1152,14982,9984,12.001302083333334,7.91808614516654,1.6254746663773463,0.12498643810350439,95.02734375
137,bert.encoder.layer.8.attention.self.value.weight,Weight,8,589824,3021671,1316287,4337958,48538209,6465963,14202938,1951181,7.354665120442708,11.189183712705379,3.2741068493516994,1.4905545420218453,82.29269917805989
138,bert.encoder.layer.8.attention.self.value.bias,Bias,12,768,0,9217,9217,73418,1153,15128,9984,12.001302083333334,7.965498535315178,1.641314961484214,0.12509493327546925,95.59635416666667
139,bert.encoder.layer.8.attention.output.dense.weight,Weight,12,589824,0,7078176,7078176,56025204,884772,11498600,7667712,12.00048828125,7.915203577870909,1.6245145642041114,0.125,94.98630777994792
140,bert.encoder.layer.8.attention.output.dense.bias,Bias,12,768,0,9217,9217,72624,1152,14863,9984,12.001302083333334,7.87935336877509,1.6125637409135294,0.12498643810350439,94.5625
141,bert.encoder.layer.8.attention.output.LayerNorm.weight,Weight,12,768,0,9217,9217,71673,1152,14546,9984,12.001302083333334,7.776174460236519,1.5781707714006727,0.12498643810350439,93.32421875
142,bert.encoder.layer.8.attention.output.LayerNorm.bias,Bias,12,768,0,9217,9217,73605,1152,15190,9984,12.001302083333334,7.985787132472605,1.6480416621460345,0.12498643810350439,95.83984375
143,bert.encoder.layer.8.intermediate.dense.weight,Weight,12,2359296,0,28312704,28312704,224033940,3539088,45972108,30670848,12.00048828125,7.9128415286650124,1.6237272144688124,0.125,94.95796203613281
144,bert.encoder.layer.8.intermediate.dense.bias,Bias,12,3072,0,36866,36866,301149,4608,63005,39936,12.000651041666666,8.168746270276134,1.7090272880160582,0.12499321868388216,98.0302734375
145,bert.encoder.layer.8.output.dense.weight,Weight,12,2359296,15811552,13733997,29545549,298995424,34241037,83125189,14794878,12.523036109076607,10.119812767737029,2.813458940972801,1.1589237011639215,126.73078070746527
146,bert.encoder.layer.8.output.dense.bias,Bias,12,768,0,9217,9217,72762,1152,14909,9984,12.001302083333334,7.894325702506238,1.6175545188239124,0.12498643810350439,94.7421875
147,bert.encoder.layer.8.output.LayerNorm.weight,Weight,12,768,0,9217,9217,69791,1153,13919,9984,12.001302083333334,7.571986546598676,1.5101442985787132,0.12509493327546925,90.87369791666667
148,bert.encoder.layer.8.output.LayerNorm.bias,Bias,12,768,0,9217,9217,74856,1152,15607,9984,12.001302083333334,8.12151459260063,1.693284148855376,0.12498643810350439,97.46875
149,bert.encoder.layer.9.attention.self.query.weight,Weight,8,589824,3017265,1671827,4689092,49654215,6481427,14242171,2020401,7.949985080295139,10.589302790390976,3.037298265847631,1.3822349828069058,84.18479919433594
150,bert.encoder.layer.9.attention.self.query.bias,Bias,12,768,0,9217,9217,16518,1152,3457,1536,12.001302083333334,1.7921232505153522,0.37506780948247803,0.12498643810350439,21.5078125
151,bert.encoder.layer.9.attention.self.key.weight,Weight,8,589824,3015336,1670446,4685782,49673400,6477936,14251576,2025270,7.944373236762153,10.600877292200106,3.0414509253738222,1.3824663631385328,84.21732584635417
152,bert.encoder.layer.9.attention.self.key.bias,Bias,12,768,0,9217,9217,72657,1152,14874,9984,12.001302083333334,7.882933709449929,1.6137571878051427,0.12498643810350439,94.60546875
153,bert.encoder.layer.9.attention.self.value.weight,Weight,8,589824,3025709,1304722,4330431,48753433,6474566,14299445,1984172,7.3419036865234375,11.25833271561191,3.302083557040858,1.495132008800048,82.6575944688585
154,bert.encoder.layer.9.attention.self.value.bias,Bias,12,768,0,9217,9217,73380,1152,15115,9984,12.001302083333334,7.9613757187805145,1.639904524248671,0.12498643810350439,95.546875
155,bert.encoder.layer.9.attention.output.dense.weight,Weight,12,589824,0,7078176,7078176,56032995,884772,11501197,7667712,12.00048828125,7.916304285171773,1.6248814666377327,0.125,94.99951680501302
156,bert.encoder.layer.9.attention.output.dense.bias,Bias,12,768,0,9217,9217,73134,1152,15033,9984,12.001302083333334,7.934685906477162,1.6310079201475534,0.12498643810350439,95.2265625
157,bert.encoder.layer.9.attention.output.LayerNorm.weight,Weight,12,768,5375,18,5393,70707,11326,22831,3067,7.022135416666667,13.110884479881328,4.23345076951604,2.1001297978861486,92.06640625
158,bert.encoder.layer.9.attention.output.LayerNorm.bias,Bias,12,768,0,9217,9217,73797,1152,15254,9984,12.001302083333334,8.006618205489856,1.6549853531517849,0.12498643810350439,96.08984375
159,bert.encoder.layer.9.intermediate.dense.weight,Weight,12,2359296,0,28312704,28312704,223959141,3539088,45947175,30670848,12.00048828125,7.910199640415836,1.6228465850524203,0.125,94.9262580871582
160,bert.encoder.layer.9.intermediate.dense.bias,Bias,12,3072,0,36866,36866,301521,4608,63129,39936,12.000651041666666,8.17883686865947,1.712390820810503,0.12499321868388216,98.1513671875
161,bert.encoder.layer.9.output.dense.weight,Weight,12,2359296,15777041,14395060,30172101,303313928,34244020,84222554,15408368,12.78860346476237,10.052794401026299,2.7914050135255746,1.1349564287883034,128.56120130750867
162,bert.encoder.layer.9.output.dense.bias,Bias,12,768,0,9217,9217,73143,1152,15036,9984,12.001302083333334,7.9356623630248455,1.6313334056634479,0.12498643810350439,95.23828125
163,bert.encoder.layer.9.output.LayerNorm.weight,Weight,12,768,0,9217,9217,70614,1152,14193,9984,12.001302083333334,7.661278073125746,1.5398719756970816,0.12498643810350439,91.9453125
164,bert.encoder.layer.9.output.LayerNorm.bias,Bias,12,768,0,9217,9217,74496,1152,15487,9984,12.001302083333334,8.082456330693285,1.6802647282195942,0.12498643810350439,97.0
165,bert.encoder.layer.10.attention.self.query.weight,Weight,8,589824,3016073,1666835,4682908,49606262,6478598,14226344,2015637,7.939500596788195,10.59304645745763,3.037929423341223,1.383456177230046,84.10349867078993
166,bert.encoder.layer.10.attention.self.query.bias,Bias,12,768,0,9217,9217,16518,1152,3457,1536,12.001302083333334,1.7921232505153522,0.37506780948247803,0.12498643810350439,21.5078125
167,bert.encoder.layer.10.attention.self.key.weight,Weight,8,589824,3017424,1658672,4676096,49576121,6480878,14225199,2012193,7.927951388888889,10.602032336376327,3.0421101277646994,1.385959141985109,84.05239698621962
168,bert.encoder.layer.10.attention.self.key.bias,Bias,12,768,0,9217,9217,16518,1152,3457,1536,12.001302083333334,1.7921232505153522,0.37506780948247803,0.12498643810350439,21.5078125
169,bert.encoder.layer.10.attention.self.value.weight,Weight,8,589824,3018932,1313481,4332413,48588165,6461966,14242400,1968799,7.345264010959202,11.215035362510454,3.2874058867425613,1.4915397031631104,82.37739562988281
170,bert.encoder.layer.10.attention.self.value.bias,Bias,12,768,0,9217,9217,16518,1152,3457,1536,12.001302083333334,1.7921232505153522,0.37506780948247803,0.12498643810350439,21.5078125
171,bert.encoder.layer.10.attention.output.dense.weight,Weight,12,589824,0,7078176,7078176,12683016,884772,2654532,1179648,12.00048828125,1.7918480693331162,0.3750305163364121,0.125,21.5030517578125
172,bert.encoder.layer.10.attention.output.dense.bias,Bias,12,768,0,9217,9217,16518,1152,3457,1536,12.001302083333334,1.7921232505153522,0.37506780948247803,0.12498643810350439,21.5078125
173,bert.encoder.layer.10.attention.output.LayerNorm.weight,Weight,12,768,5375,30,5405,70796,11326,22844,3066,7.037760416666667,13.098242368177614,4.22645698427382,2.095467160037003,92.18229166666667
174,bert.encoder.layer.10.attention.output.LayerNorm.bias,Bias,12,768,0,9217,9217,73551,1152,15172,9984,12.001302083333334,7.979928393186503,1.6460887490506673,0.12498643810350439,95.76953125
175,bert.encoder.layer.10.intermediate.dense.weight,Weight,12,2359296,15975646,17750752,33726398,328624393,34996621,89730679,18305754,14.295110914442274,9.743833094776383,2.660547355220086,1.0376625751733108,139.28917482164172
176,bert.encoder.layer.10.intermediate.dense.bias,Bias,12,3072,0,36866,36866,300461,4609,62776,39936,12.000651041666666,8.150084088319861,1.702815602452124,0.12502034394835349,97.80631510416667
177,bert.encoder.layer.10.output.dense.weight,Weight,12,2359296,15159998,7147993,22307991,245181814,32234123,69235324,9169293,9.4553591410319,10.990761740938483,3.1036108988926885,1.4449585800890812,103.92159949408637
178,bert.encoder.layer.10.output.dense.bias,Bias,12,768,0,9217,9217,73014,1152,14993,9984,12.001302083333334,7.92166648584138,1.6266681132689595,0.12498643810350439,95.0703125
179,bert.encoder.layer.10.output.LayerNorm.weight,Weight,12,768,0,9217,9217,74442,1152,15469,9984,12.001302083333334,8.076597591407182,1.678311815124227,0.12498643810350439,96.9296875
180,bert.encoder.layer.10.output.LayerNorm.bias,Bias,12,768,0,9217,9217,76616,1153,16194,9984,12.001302083333334,8.312466095258761,1.7569708147987415,0.12509493327546925,99.76041666666667
181,bert.encoder.layer.11.attention.self.query.weight,Weight,8,589824,3017657,1640315,4657972,49463387,6479698,14202708,1999724,7.897223578559028,10.619082081214744,3.0491183716862187,1.3910985295746732,83.86126539442274
182,bert.encoder.layer.11.attention.self.query.bias,Bias,12,768,0,9217,9217,16518,1152,3457,1536,12.001302083333334,1.7921232505153522,0.37506780948247803,0.12498643810350439,21.5078125
183,bert.encoder.layer.11.attention.self.key.weight,Weight,8,589824,3018375,1614765,4633140,49317689,6478899,14165975,1982428,7.855122884114583,10.644549700634991,3.057532256741648,1.3983818749271553,83.61424594455295
184,bert.encoder.layer.11.attention.self.key.bias,Bias,12,768,0,9217,9217,16518,1152,3457,1536,12.001302083333334,1.7921232505153522,0.37506780948247803,0.12498643810350439,21.5078125
185,bert.encoder.layer.11.attention.self.value.weight,Weight,8,589824,3018756,1488609,4507365,49373936,6474087,14347406,2035637,7.6418813069661455,10.954057636778916,3.183102766250348,1.4363351980591765,83.70960828993056
186,bert.encoder.layer.11.attention.self.value.bias,Bias,12,768,0,9217,9217,16518,1152,3457,1536,12.001302083333334,1.7921232505153522,0.37506780948247803,0.12498643810350439,21.5078125
