tensor_category,tensors,chunks,used_chunks,skipped_chunks,pred_none,pred_mean,pred_neighbor,pred_none_pct,pred_mean_pct,pred_neighbor_pct,skip_pct,used_chunk_share_pct
conv_weight,584,59551,56366,3185,36178,3471,16717,0.6418408260298761,0.06157967569101941,0.2965794982791044,0.053483568705815186,0.15325635078808775
attention_weight,254,93314,71533,21781,68924,625,1984,0.9635273230536955,0.008737226175331665,0.02773545077097284,0.23341620764301177,0.1944946694980002
mlp_weight,282,175924,167411,8513,133913,12825,20673,0.799905621494406,0.07660786925590314,0.12348650924969089,0.04839021395602647,0.45518218326268595
fc_weight,13,66170,29230,36940,4552,852,23826,0.15573041395826207,0.029148135477249402,0.8151214505644886,0.5582590297717999,0.0794749163243055
embedding_weight,9,58291,35774,22517,24540,10951,283,0.6859730530552915,0.3061161737574775,0.00791077318723095,0.3862860475888216,0.09726772687600771
norm_weight,310,310,252,58,97,108,47,0.38492063492063494,0.42857142857142855,0.1865079365079365,0.1870967741935484,0.0006851754674555248
bias,855,7130,6242,888,41,58,6143,0.006568407561678949,0.009291893623838513,0.9841396988144825,0.12454417952314166,0.01697168757086264
buffer,919,1055,981,74,837,129,15,0.8532110091743119,0.13149847094801223,0.01529051987767584,0.07014218009478673,0.0026672902125947215
