id,name,type,bitwidth,num_elements,regularBins,bypassBins,totalBins,ops_total,mem,branches,loops,bins_per_weight,ops_per_bin,branches_per_bin,mem_per_bin,ops_per_weight
246,features.3.0.block.3.1.running_mean,buffer,32,40,210,18,228,2948,450,908,90,5.7,12.929824561403509,3.982456140350877,1.9736842105263157,73.7
247,features.3.0.block.3.1.running_var,buffer,32,40,219,95,314,3591,479,1046,145,7.85,11.436305732484076,3.3312101910828025,1.5254777070063694,89.775
248,features.3.0.block.3.1.num_batches_tracked,buffer,32,1,1,36,37,271,7,55,37,37.0,7.324324324324325,1.4864864864864864,0.1891891891891892,271.0
249,features.3.1.block.0.1.running_mean,buffer,32,240,240,4,244,4105,600,1322,2,1.0166666666666666,16.82377049180328,5.418032786885246,2.459016393442623,17.104166666666668
250,features.3.1.block.0.1.running_var,buffer,32,240,1864,852,2716,29587,3995,8285,1051,11.316666666666666,10.89359351988218,3.050441826215022,1.4709131075110458,123.27916666666667
251,features.3.1.block.0.1.num_batches_tracked,buffer,32,1,1,36,37,269,7,55,37,37.0,7.27027027027027,1.4864864864864864,0.1891891891891892,269.0
252,features.3.1.block.1.1.running_mean,buffer,32,240,345,4,349,5488,823,1758,43,1.4541666666666666,15.724928366762178,5.037249283667622,2.358166189111748,22.866666666666667
253,features.3.1.block.1.1.running_var,buffer,32,240,352,4,356,5600,828,1801,60,1.4833333333333334,15.730337078651685,5.058988764044944,2.3258426966292136,23.333333333333332
254,features.3.1.block.1.1.num_batches_tracked,buffer,32,1,1,36,37,271,7,55,37,37.0,7.324324324324325,1.4864864864864864,0.1891891891891892,271.0
255,features.3.1.block.3.1.running_mean,buffer,32,40,43,4,47,746,106,235,3,1.175,15.872340425531915,5.0,2.25531914893617,18.65
256,features.3.1.block.3.1.running_var,buffer,32,40,40,4,44,709,101,223,2,1.1,16.113636363636363,5.068181818181818,2.2954545454545454,17.725
257,features.3.1.block.3.1.num_batches_tracked,buffer,32,1,1,36,37,271,7,55,37,37.0,7.324324324324325,1.4864864864864864,0.1891891891891892,271.0
258,features.4.0.block.0.1.running_mean,buffer,32,240,618,6,624,9064,1399,2881,158,2.6,14.525641025641026,4.61698717948718,2.2419871794871793,37.766666666666666
259,features.4.0.block.0.1.running_var,buffer,32,240,2115,2160,4275,41639,4656,11364,2190,17.8125,9.740116959064327,2.6582456140350876,1.0891228070175438,173.49583333333334
260,features.4.0.block.0.1.num_batches_tracked,buffer,32,1,1,36,37,269,7,55,37,37.0,7.27027027027027,1.4864864864864864,0.1891891891891892,269.0
261,features.4.0.block.1.1.running_mean,buffer,32,240,352,4,356,5560,837,1782,50,1.4833333333333334,15.617977528089888,5.00561797752809,2.351123595505618,23.166666666666668
262,features.4.0.block.1.1.running_var,buffer,32,240,384,4,388,6057,894,1944,66,1.6166666666666667,15.610824742268042,5.010309278350515,2.304123711340206,25.2375
263,features.4.0.block.1.1.num_batches_tracked,buffer,32,1,1,36,37,271,7,55,37,37.0,7.324324324324325,1.4864864864864864,0.1891891891891892,271.0
264,features.4.0.block.3.1.running_mean,buffer,32,80,290,10,300,4169,636,1309,96,3.75,13.896666666666667,4.363333333333333,2.12,52.1125
265,features.4.0.block.3.1.running_var,buffer,32,80,199,12,211,3020,443,950,57,2.6375,14.312796208530806,4.502369668246446,2.0995260663507107,37.75
266,features.4.0.block.3.1.num_batches_tracked,buffer,32,1,1,36,37,271,7,55,37,37.0,7.324324324324325,1.4864864864864864,0.1891891891891892,271.0
267,features.4.1.block.0.1.running_mean,buffer,32,480,480,4,484,8185,1200,2642,2,1.0083333333333333,16.91115702479339,5.458677685950414,2.479338842975207,17.052083333333332
268,features.4.1.block.0.1.running_var,buffer,32,480,3397,1106,4503,51516,7261,14908,1708,9.38125,11.44037308461026,3.3106817677104154,1.6124805685098822,107.325
269,features.4.1.block.0.1.num_batches_tracked,buffer,32,1,1,36,37,271,7,55,37,37.0,7.324324324324325,1.4864864864864864,0.1891891891891892,271.0
270,features.4.1.block.1.1.running_mean,buffer,32,480,508,4,512,8557,1259,2759,12,1.0666666666666667,16.712890625,5.388671875,2.458984375,17.827083333333334
271,features.4.1.block.1.1.running_var,buffer,32,480,492,4,496,8353,1225,2695,6,1.0333333333333334,16.840725806451612,5.433467741935484,2.469758064516129,17.402083333333334
272,features.4.1.block.1.1.num_batches_tracked,buffer,32,1,1,36,37,271,7,55,37,37.0,7.324324324324325,1.4864864864864864,0.1891891891891892,271.0
273,features.4.1.block.3.1.running_mean,buffer,32,80,80,4,84,1385,200,442,2,1.05,16.488095238095237,5.261904761904762,2.380952380952381,17.3125
274,features.4.1.block.3.1.running_var,buffer,32,80,80,4,84,1385,200,442,2,1.05,16.488095238095237,5.261904761904762,2.380952380952381,17.3125
275,features.4.1.block.3.1.num_batches_tracked,buffer,32,1,1,36,37,271,7,55,37,37.0,7.324324324324325,1.4864864864864864,0.1891891891891892,271.0
276,features.4.2.block.0.1.running_mean,buffer,32,480,695,4,699,11046,1655,3540,75,1.45625,15.802575107296137,5.064377682403434,2.367668097281831,23.0125
277,features.4.2.block.0.1.running_var,buffer,32,480,3622,1344,4966,55561,7736,15748,1865,10.345833333333333,11.188280306081353,3.171163914619412,1.557792992347966,115.75208333333333
278,features.4.2.block.0.1.num_batches_tracked,buffer,32,1,1,36,37,269,7,55,37,37.0,7.27027027027027,1.4864864864864864,0.1891891891891892,269.0
279,features.4.2.block.1.1.running_mean,buffer,32,480,511,4,515,8597,1266,2772,13,1.0729166666666667,16.693203883495144,5.38252427184466,2.458252427184466,17.910416666666666
280,features.4.2.block.1.1.running_var,buffer,32,480,489,4,493,8310,1219,2682,5,1.0270833333333333,16.855983772819474,5.440162271805274,2.4726166328600407,17.3125
281,features.4.2.block.1.1.num_batches_tracked,buffer,32,1,1,36,37,271,7,55,37,37.0,7.324324324324325,1.4864864864864864,0.1891891891891892,271.0
282,features.4.2.block.3.1.running_mean,buffer,32,80,80,4,84,1385,200,442,2,1.05,16.488095238095237,5.261904761904762,2.380952380952381,17.3125
283,features.4.2.block.3.1.running_var,buffer,32,80,80,4,84,1385,200,442,2,1.05,16.488095238095237,5.261904761904762,2.380952380952381,17.3125
284,features.4.2.block.3.1.num_batches_tracked,buffer,32,1,1,36,37,271,7,55,37,37.0,7.324324324324325,1.4864864864864864,0.1891891891891892,271.0
285,features.5.0.block.0.1.running_mean,buffer,32,480,1226,4,1230,17951,2775,5725,314,2.5625,14.59430894308943,4.654471544715447,2.2560975609756095,37.39791666666667
286,features.5.0.block.0.1.running_var,buffer,32,480,3963,2679,6642,68685,8575,19026,2901,13.8375,10.341011743450768,2.86449864498645,1.2910267991568805,143.09375
287,features.5.0.block.0.1.num_batches_tracked,buffer,32,1,1,36,37,269,7,55,37,37.0,7.27027027027027,1.4864864864864864,0.1891891891891892,269.0
288,features.5.0.block.1.1.running_mean,buffer,32,480,642,13,655,10368,1544,3323,71,1.3645833333333333,15.829007633587786,5.073282442748091,2.3572519083969468,21.6
289,features.5.0.block.1.1.running_var,buffer,32,480,706,18,724,11348,1664,3633,98,1.5083333333333333,15.67403314917127,5.017955801104972,2.298342541436464,23.641666666666666
290,features.5.0.block.1.1.num_batches_tracked,buffer,32,1,1,36,37,269,7,55,37,37.0,7.27027027027027,1.4864864864864864,0.1891891891891892,269.0
291,features.5.0.block.3.1.running_mean,buffer,32,112,241,4,245,3665,550,1166,51,2.1875,14.959183673469388,4.759183673469388,2.2448979591836733,32.723214285714285
292,features.5.0.block.3.1.running_var,buffer,32,112,373,9,382,5464,815,1733,122,3.4107142857142856,14.303664921465968,4.536649214659686,2.1335078534031413,48.785714285714285
293,features.5.0.block.3.1.num_batches_tracked,buffer,32,1,1,36,37,269,7,55,37,37.0,7.27027027027027,1.4864864864864864,0.1891891891891892,269.0
294,features.5.1.block.0.1.running_mean,buffer,32,672,672,4,676,11449,1680,3698,2,1.005952380952381,16.93639053254438,5.470414201183432,2.485207100591716,17.03720238095238
295,features.5.1.block.0.1.running_var,buffer,32,672,4860,1866,6726,76048,10389,21880,2591,10.008928571428571,11.306571513529587,3.2530478739220934,1.5446030330062444,113.16666666666667
296,features.5.1.block.0.1.num_batches_tracked,buffer,32,1,1,36,37,269,7,55,37,37.0,7.27027027027027,1.4864864864864864,0.1891891891891892,269.0
297,features.5.1.block.1.1.running_mean,buffer,32,672,699,4,703,11804,1737,3810,13,1.0461309523809523,16.790896159317214,5.4196301564722615,2.4708392603129443,17.56547619047619
298,features.5.1.block.1.1.running_var,buffer,32,672,678,4,682,11535,1693,3725,4,1.0148809523809523,16.91348973607038,5.461876832844575,2.4824046920821115,17.165178571428573
299,features.5.1.block.1.1.num_batches_tracked,buffer,32,1,1,36,37,269,7,55,37,37.0,7.27027027027027,1.4864864864864864,0.1891891891891892,269.0
300,features.5.1.block.3.1.running_mean,buffer,32,112,112,4,116,1933,281,619,2,1.0357142857142858,16.663793103448278,5.336206896551724,2.4224137931034484,17.258928571428573
301,features.5.1.block.3.1.running_var,buffer,32,112,112,4,116,1929,280,618,2,1.0357142857142858,16.629310344827587,5.327586206896552,2.413793103448276,17.223214285714285
302,features.5.1.block.3.1.num_batches_tracked,buffer,32,1,1,36,37,269,7,55,37,37.0,7.27027027027027,1.4864864864864864,0.1891891891891892,269.0
303,features.5.2.block.0.1.running_mean,buffer,32,672,832,4,836,13558,2020,4359,56,1.244047619047619,16.217703349282296,5.214114832535885,2.416267942583732,20.175595238095237
304,features.5.2.block.0.1.running_var,buffer,32,672,5061,1892,6953,78449,10798,22248,2578,10.34672619047619,11.282755645045304,3.1997698835035235,1.5529987055947074,116.73958333333333
305,features.5.2.block.0.1.num_batches_tracked,buffer,32,1,1,36,37,271,7,55,37,37.0,7.324324324324325,1.4864864864864864,0.1891891891891892,271.0
306,features.5.2.block.1.1.running_mean,buffer,32,672,711,4,715,11966,1763,3860,15,1.0639880952380953,16.735664335664335,5.398601398601398,2.4657342657342656,17.80654761904762
307,features.5.2.block.1.1.running_var,buffer,32,672,678,4,682,11533,1693,3725,4,1.0148809523809523,16.910557184750733,5.461876832844575,2.4824046920821115,17.16220238095238
308,features.5.2.block.1.1.num_batches_tracked,buffer,32,1,1,36,37,271,7,55,37,37.0,7.324324324324325,1.4864864864864864,0.1891891891891892,271.0
309,features.5.2.block.3.1.running_mean,buffer,32,112,112,4,116,1931,281,619,2,1.0357142857142858,16.646551724137932,5.336206896551724,2.4224137931034484,17.241071428571427
