tensor_type,predictor,total_symbols,<= 1,<= 2,<= 3,<= 4,<= 5,<= 6,<= 7,<= 8,<= 10,<= 12,<= 16
weight,NONE,3328664,0.1257522537570629,0.18349013297827596,0.23789995025031063,0.28915504839178724,0.3370210991556973,0.38218606624159124,0.4244531740061478,0.4642318960399728,0.5359717892824268,0.5985557569042715,0.7012915692301777
weight,MEAN,300380,0.1441074638790865,0.2129136427192223,0.2788667687595712,0.3427325387842067,0.4023670017977229,0.4580065250682469,0.5082329049870165,0.5543345096211465,0.6318596444503629,0.6939343498235568,0.7841900259671083
weight,NEIGHBOR,254687,0.18836846796263648,0.2726719463498333,0.3497469442884796,0.42088131706761633,0.4855175175804026,0.5428741945996458,0.593964356249043,0.6391963468885338,0.7166011614255929,0.7773227530262636,0.8621523674156907
bias,NONE,141,0.014184397163120567,0.014184397163120567,0.014184397163120567,0.014184397163120567,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.04964539007092199,0.06382978723404255,0.0851063829787234,0.10638297872340426
bias,NEIGHBOR,93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer,NONE,716,0.8198324022346368,0.8854748603351955,0.9273743016759777,0.952513966480447,0.9678770949720671,0.973463687150838,0.979050279329609,0.9832402234636871,0.9874301675977654,0.9930167597765364,0.994413407821229
buffer,MEAN,923,0.875406283856988,0.9100758396533044,0.9274106175514626,0.9664138678223185,0.9750812567713976,0.9815817984832069,0.9869989165763814,0.9891657638136512,0.991332611050921,0.9967497291440953,0.9967497291440953
buffer,NEIGHBOR,736,0.9470108695652174,0.9945652173913043,0.9945652173913043,0.9945652173913043,0.9945652173913043,0.9972826086956522,0.998641304347826,1.0,1.0,1.0,1.0
