tensor_type,predictor,gtx_count,rem_count,gtx_probability,rem_probability,mean_level,median_level,p90,p95,p99,maximum
weight,NONE,962500,2366164,0.28915504839178724,0.7108449516082128,13.1511801731866,9,30,38,55,126
weight,MEAN,102950,197430,0.3427325387842067,0.6572674612157934,10.705289966043011,7,25,33,48,130
weight,NEIGHBOR,107193,147494,0.42088131706761633,0.5791186829323837,8.454235983776165,6,19,26,43,168
bias,NONE,2,139,0.014184397163120567,0.9858156028368794,561.3333333333334,377,1484,1852,2046,2046
bias,NEIGHBOR,93,0,1.0,0.0,0.0,0,0,0,0,0
buffer,NONE,682,34,0.952513966480447,0.04748603351955307,0.9427374301675978,0,3,4,11,35
buffer,MEAN,892,31,0.9664138678223185,0.03358613217768147,0.7128927410617552,0,2,4,9,49
buffer,NEIGHBOR,732,4,0.9945652173913043,0.005434782608695652,0.360054347826087,0,1,2,2,8
