tensor_type,predictor,gtx_count,rem_count,gtx_probability,rem_probability,mean_level,median_level,p90,p95,p99,maximum
weight,NONE,15144634,28131730,0.3499516271745935,0.6500483728254065,11.42209278487444,8,27,35,53,126
weight,MEAN,1386177,3140685,0.3062114550874314,0.6937885449125686,12.30023225801891,8,29,37,56,145
weight,NEIGHBOR,2289712,3371124,0.40448301275641974,0.5955169872435803,9.947220693197966,6,24,32,51,208
bias,NONE,201,1505,0.11781946072684643,0.8821805392731535,100.18698710433763,34,181,377,1504,2040
bias,MEAN,3,5,0.375,0.625,7.5,7,16,23,23,23
bias,NEIGHBOR,24,73,0.24742268041237114,0.7525773195876289,445.2886597938144,156,1351,1802,2042,2205
buffer,NONE,26760,2535,0.9134664618535586,0.08653353814644137,1.5036695681856973,1,4,6,10,143
buffer,MEAN,25559,39879,0.3905834530395183,0.6094165469604816,7.935710137840399,6,16,21,43,315
buffer,NEIGHBOR,2642,3620,0.42190993292877677,0.5780900670712232,24.09773235388055,9,70,87,120,197
